iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,-0.4230109269550345,0.0,1.5206852598723002,1.5199605450902143,0,0.0,1,,0.2433928266482185,,,,,,,,,,
1,2.5627779960632324,-1.087359256480832,1.3464301743510505,2.3568538240758503,2.3568538240758494,0,0.0,1,0.769104644821674,0.769104644821674,optimal,9.0,4.531946002546571e-07,-2.4260161043335042,-2.426016557528104,2.614465134156159e-15,1.2079364653324618e-11,1.0,1.0,0.0
2,5.056079149246216,-1.2758790774894464,0.9488545160133693,0.5068496974887099,0.5068482533140336,0,0.0,1,0.3515266664397889,0.3515266664397889,optimal,11.0,3.8426645735078683e-08,-0.440257517501289,-0.44025755592793464,1.461327172820779e-15,1.24345317463496e-11,0.9,1.0,1.0
3,7.690404891967773,-1.3335360998746926,0.462992919765674,0.08064294837338672,0.08064294837338648,0,0.0,1,0.27244392089929104,0.27244392089929104,optimal,11.0,2.1057944060910278e-09,-0.07055126296509279,-0.07055126507088717,6.4481408641280775e-16,9.045314924064108e-13,1.0,1.0,0.0
4,10.151219844818115,-1.3353960120251491,0.07297065895175628,0.0014642722189220484,0.0014642722188657675,0,0.0,1,0.24403876296389276,0.24403876296389276,optimal,10.0,1.720844415099197e-08,-0.0018698509133454064,-0.0018698681217895587,5.050151398079303e-16,5.421118871029127e-13,1.0,1.0,0.0
5,12.505881071090698,-1.3353960663861295,0.0003990417503371755,4.457563132891035e-08,4.29283326841262e-08,0,0.0,1,0.24339363744223963,0.24339363744223963,optimal,10.0,1.6050710721031687e-08,-5.436098747563109e-08,-7.041169819665712e-08,5.629773653357375e-16,5.740161473725788e-13,1.0,1.0,0.0
6,14.888975858688354,-1.3353960663861295,2.1073424255447017e-08,5.810342428209261e-08,5.684933679559997e-08,0,0.0,1,0.24339362246082596,0.24339362246082596,optimal,10.0,1.6140011287766577e-08,7.426214587536116e-11,-1.6065749141887487e-08,4.299009261641792e-16,5.276404296671906e-13,8.335248417898115e-06,1.0,111.0
7,17.44613289833069,-1.3353960663861297,0.0,5.8103432132025245e-08,5.684934475636552e-08,0,0.0,1,0.2433936224611588,0.2433936224611588,optimal,10.0,1.6140011277581986e-08,7.426151571261637e-11,-1.6065749761875103e-08,6.298796460756432e-16,6.519519041067889e-13,4.429692754456193e-06,1.0,117.0
8,19.80074906349182,-1.3353960663861297,0.0,5.8103301788870776e-08,5.6849211526444065e-08,0,0.0,1,0.24339362246085705,0.24339362246085705,optimal,10.0,1.614001128154121e-08,7.426119111100733e-11,-1.6065750090430005e-08,5.106546428540302e-16,6.14543506181989e-13,8.20831010441805e-07,1.0,133.0
9,22.292537927627563,-1.3353960663861297,0.0,5.810329338919128e-08,5.6849202940818745e-08,0,0.0,1,0.24339362246102814,0.24339362246102814,optimal,10.0,1.61400112800358e-08,7.42611283137516e-11,-1.6065750151722784e-08,4.969347747679448e-16,6.752193988054473e-13,4.295799664301754e-08,1.0,161.0
