iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.5873566195898684,2.580956827951785e-08,2.2939244401326766,2.064482825561408,0.0,0.0,0.1,1.0
1,0.007950782775878906,-0.5320636870453107,0.6748440700788378,0.9370881341943074,0.00038576384156110684,0.0,0.0,0.1,0.9947534600313163
2,0.00895380973815918,-0.5320745909327276,0.00012207030984730709,0.87473946184801,0.0003730407873610602,0.0,0.0,0.33333333333333337,0.9895099124970558
3,0.009921073913574219,-0.5321051305318648,0.00012207030893781236,0.6729615589481176,0.00040540812721443214,0.0,0.0,1.1111111111111114,0.9720307239104374
4,0.018373966217041016,-0.6004386836627421,0.10792866698192927,0.25530598611051547,0.0003697958985239479,0.0,0.0,1.1111111111111114,0.9358843609496841
5,0.026096820831298828,-0.7248379390691874,0.20747891348063047,0.07720734678015295,0.00030735353401484424,0.0,0.0,1.1111111111111114,0.9327397179439681
6,0.031738996505737305,-0.7399837664257346,0.09693222668953948,0.02035813023971141,0.00024421793604137714,0.0,0.0,1.1111111111111114,0.9276881423001834
7,0.03991389274597168,-0.7923725993720395,0.16443329334650836,0.05144619696612644,0.0001326131608514599,0.04495938880137698,0.012228436388051198,1.1111111111111114,0.9456690235656044
8,0.0467069149017334,-0.7658944811562995,0.07309765602567113,0.00758376351769061,0.0002862765117754733,0.004526832786400586,0.0009053665572801171,1.1111111111111114,0.9506988377727162
9,0.05127573013305664,-0.7740553554930577,0.02860587596957534,0.011729184763828018,0.0002332177459074338,0.00685154586098355,0.0027102099751938613,1.1111111111111114,0.9583116665071424
10,0.05683493614196777,-0.768702201576672,0.012515487703167606,0.005493930440347317,8.268117734953246e-05,0.0039016735036700384,0.0007803347007340076,1.1111111111111114,0.962646859288998
11,0.06219196319580078,-0.7695284473176421,0.005184670193489507,0.005099641519266965,0.00013105509596071687,0.0036263386009020436,0.0008696622996149745,3.7037037037037046,0.9666761244011114
12,0.06594991683959961,-0.7674355108507194,0.0023475438327608374,0.002423681942009016,2.2902094737690246e-05,0.0017357532119974988,0.00034715064239949976,3.7037037037037046,0.9731048400011021
13,0.06812500953674316,-0.7666700913925117,0.0008801447304954553,0.0012461074177734638,1.9734345618548664e-05,0.0008911983567795458,0.00017823967135590916,3.7037037037037046,0.9764055746558411
14,0.06960105895996094,-0.7662570310042384,0.00044641284559889194,0.0006355021163280955,6.124436715719375e-05,0.00045207925136446465,9.041585027289293e-05,3.7037037037037046,0.9780799422534873
15,0.07155370712280273,-0.7660501045331842,0.0002183865644706448,0.00032963238557470227,9.918179732785147e-06,0.00023534144554844972,4.706828910968994e-05,3.7037037037037046,0.978951577237
16,0.07321405410766602,-0.7659443633557084,0.0001157980847634537,0.0001710821902502379,7.728300820772658e-06,0.0001220573101295739,2.441146202591478e-05,3.7037037037037046,0.979403641348591
17,0.07616591453552246,-0.7658862862599377,6.249657679789561e-05,8.507501149151683e-05,6.380599327971368e-06,6.057724663160084e-05,1.2115449326320168e-05,3.7037037037037046,0.9796280015213007
18,0.07730793952941895,-0.7658612039332723,2.7689785837066625e-05,4.904640891573897e-05,1.386011513123298e-05,3.359732347316971e-05,6.719464694633941e-06,3.7037037037037046,0.9797524360526828
19,0.07897090911865234,-0.7658438371488104,1.8245156042061206e-05,2.178316020727245e-05,1.8103001026463988e-06,1.54974488722071e-05,3.0994897744414203e-06,3.7037037037037046,0.9798098340114687
20,0.08090710639953613,-0.7658367325134238,7.820384368343275e-06,1.1087407581280603e-05,9.757820914652589e-07,7.884855842825008e-06,1.5769711685650016e-06,3.7037037037037046,0.979839037181257
21,0.08256793022155762,-0.7658326421300421,4.477098455006982e-06,5.868641048398797e-06,3.22244284591799e-06,3.5018954353465393e-06,7.003790870693079e-07,3.7037037037037046,0.9798520071643508
22,0.0836937427520752,-0.7658319789451992,7.805705579345898e-07,5.820666011996601e-06,4.3330137348910455e-06,2.7752484930865957e-06,5.550496986173191e-07,3.7037037037037046,0.9798622858624734
23,0.08533191680908203,-0.7658302302709,1.8549402141091425e-06,1.477601420560462e-06,6.79518866877273e-07,9.367786661517205e-07,1.873557332303441e-07,3.7037037037037046,0.9798657554130887
24,0.08617973327636719,-0.765829338199146,9.534414573339818e-07,3.0691542388114885e-06,3.0691424576240144e-06,0.0,0.0,3.7037037037037046,0.9798657317492605
25,0.08704280853271484,-0.7658297891299969,4.7660427068828425e-07,8.544590122258685e-07,5.519237622345463e-07,4.657370698144988e-07,9.314741396289976e-08,12.345679012345682,0.9798674567013709
