iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,50000011.0,0.0,20000003.000001,20000003.000000924,1.7497142623868622,0.0,0,0.0,0.0,-19999999.00000091,-1.6180342196515634,1.0,,1.0,,,,,,,,,,,,
1,0.04259753227233887,40001267.91452128,2.2029350156881575,224212.32086862906,224212.32086862886,0.009562994365729346,0.0,0,0.0006109433052283886,8.145910736378295e-05,-135173.79206252212,-150.3505735473474,1.0,0.9700729075239879,0.9700729075239879,optimal,8.0,2.931578283181248e-06,-10000070.274739008,-10000070.27474194,1.3242032746407765e-14,4.094982273067522e-15,117.56312504912127,1.0,20000140.530081533,1.0,0.0
2,0.08367490768432617,40000090.84565716,0.14022497284754407,22060.220201124852,22060.220200602475,0.15181398650312206,0.0,0,0.0,0.0,-3769.028241742378,-6239.422342222749,6325.447173148248,6324.947173148248,6324.947173148248,optimal,14.0,1.6438955930114436e-11,-1283.0796556901998,-1283.0796556902162,2.93514059628359e-16,1.9825394964831255e-13,0.14089184699202617,1.0,2444.5602292800813,1.0,0.0
3,0.125044584274292,40000055.05008591,0.7897169693254026,205324.68242014523,205324.39776280982,341.898044670519,0.0,0,0.0,0.0,-41052.85771264591,-728.942511922321,284663.3443652137,284662.8443652137,284662.8443652137,optimal,20.0,4.2192523226254334e-12,-31.051346019472664,-31.051346019463555,2.313404348553872e-16,8.881564450915155e-14,1.008538932666363,1.0,21.78972303725703,1.0,0.0
4,0.16620135307312012,40000045.19831433,0.0762908423785612,23707.273160311815,23707.236999874858,41.40687630871361,0.0,0,0.0,0.0,-28225.385930708304,-1408.332521698908,284663.3443652137,11768.898732151974,11768.898732151974,optimal,15.0,3.387247002714735e-12,-142.93874572975147,-142.93874572975486,3.4252138777299867e-16,8.829942538395333e-15,0.11650198857832077,0.6561000000000001,54.42747618325483,1.0,4.0
5,0.20708227157592773,40000010.12330339,0.03157433104826798,989.3053758989143,989.3053757866893,0.014901294420030527,0.0,0,3.407425719434594e-05,2.2716171462897295e-06,-1851.0697916245156,-21386.621793233076,284663.3443652137,437.3182468817882,437.3182468817882,optimal,12.0,7.633089952018152e-12,-36.505820320104604,-36.505820320111994,1.2256454345238644e-15,9.377593795980659e-15,0.03158374802872851,1.0,69.12195465794004,1.0,0.0
6,0.2479841709136963,40000009.87560434,0.010629063520115896,80.0534208656299,80.05342086537252,0.00020300086352699473,0.0,0,1.135847868290532e-06,7.57231912193688e-08,-56.61576256388094,-617095.777655018,284663.3443652137,178.72187745751026,178.72187745751026,optimal,14.0,3.9967486964943864e-14,-0.2516534667602361,-0.25165346676027606,1.0294063921213904e-16,9.733898904778367e-15,0.010629454195547651,1.0,0.4839762263467324,1.0,0.0
7,0.2892773151397705,40000010.049777456,0.1667881142134513,2126.7275956388835,2126.7275956239605,0.007967148671483555,0.0,0,0.0,0.0,-1357.7331465243287,-29455.133517808503,284663.3443652137,2.32106308742822,2.32106308742822,unknown,14.0,1.1883323567922095e-23,-0.10690433807790639,-0.10690433807790639,9.529646980353388e-17,5.200281940882371e-12,0.3167841718482915,0.5314410000000002,0.18140121115749477,1.0,6.0
8,0.3303098678588867,40000009.89270107,0.030021973174685954,845.471510214972,845.4715031817836,0.10905375140022426,0.0,0,0.0,0.0,-963.871489247715,-41496.19731902417,284663.3443652137,5.9779409221311335,5.9779409221311335,optimal,9.0,6.96460671056016e-14,-0.42348218493582707,-0.4234821849358967,1.4535324430334468e-16,2.8759918818696373e-14,0.08612267644018186,0.34867844010000015,0.511590306249644,1.0,10.0
9,0.3716464042663574,40000009.812364265,0.02245990324905949,1464.8310963154267,1464.831096277575,0.010530557881937512,0.0,0,0.0,0.0,-1368.8618229841597,-29216.274554757412,284663.3443652137,5.271116181116477,5.271116181116477,optimal,9.0,8.616443225839217e-13,-0.154536797549773,-0.15453679755062957,2.1517287058912e-15,6.130030939975238e-14,0.030813282861317928,0.7290000000000001,0.2323715004245494,1.0,3.0
