iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7960206362310905,1.3042167484290357e-15,3.636198589127414,2.634853157464458,2.5058908631805514,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,,,
1,0.40981292724609375,0.7938339160517498,2.4872547665496327,0.016683074888270245,0.01668098815912987,0.00026385936140738267,0.0,0.0,0.0,0.0,1,0.0009873706303076429,0.0009873706303076429,optimal,10.0,8.958458946339345e-14,-0.002401398807876515,-0.0024013988079660997,4.000763229831849e-16,5.794188201512561e-16,3.6659469975230516,0.7290000000000001,0.004303464887536291,1.0,3.0
2,0.82240891456604,0.7917764541225594,1.2840231641302138,0.013833191388114143,0.013825062952785183,0.00047415011517654675,0.0,0.0,0.0,0.0,1,0.0012269948268505805,0.0012269948268505805,optimal,10.0,1.4065087256497681e-14,-0.004468929508214928,-0.004468929508228994,4.473252872486458e-16,4.404570541760721e-16,3.8159258564175578,0.34867844010000015,0.005876313733835445,1.0,10.0
3,1.246124267578125,0.7898166092856392,0.8950037395940594,0.013592650273629674,0.013589662678307995,0.00028497324612604765,0.0,0.0,0.0,0.0,1,0.0014657999737487848,0.0014657999737487848,optimal,10.0,6.907876471284644e-13,-0.003987108689500782,-0.00398710869019157,9.0786387304104e-16,6.918300093825354e-15,2.8733182042603844,0.31381059609000017,0.005994154112762096,1.0,11.0
4,1.661668300628662,0.7894839645551892,0.12159796417955794,0.014179912711971675,0.014173794320563978,0.00035286985535816257,0.0,0.0,0.00022127345675371224,1.3829591047107015e-05,1,0.0022076745108842474,0.0022076745108842474,optimal,10.0,1.5571340339946296e-13,-0.003931347103255414,-0.003931347103411126,3.9633302086712756e-16,8.33132244963949e-15,2.5820593075577647,0.04710128697246249,0.006445162471881851,1.0,29.0
5,2.0802195072174072,0.7892126880693932,0.07762703768019624,0.014159455515159815,0.014145252805775617,0.00046704286881389494,0.0,0.0,0.00042880590618232794,2.6800369136395497e-05,1,0.0022487634959355816,0.0022487634959355816,optimal,11.0,1.0025095439686507e-14,-0.0043819371054215316,-0.0043819371054315565,4.192540789506718e-16,4.636548096955897e-14,2.2611009263700295,0.03433683820292516,0.007097206486975947,1.0,32.0
6,2.494019031524658,0.7888665958793056,0.09323862770099356,0.01417129753295391,0.014143612459830743,0.0005497598570170071,0.0,0.0,0.0006940204991487953,4.3376281196799704e-05,1,0.002596806239258368,0.002596806239258368,optimal,10.0,3.0415885238417015e-14,-0.004580788309825439,-0.004580788309855858,4.652320756136887e-16,1.4687455054307278e-15,2.200095405357425,0.042391158275216244,0.007251381771850773,1.0,30.0
7,2.9148683547973633,0.7887197693715927,0.05360945427319866,0.013548172995162535,0.01351167498423039,0.000579347716592076,0.0,0.0,0.0008074570271250359,5.046606419531474e-05,1,0.0022821812776616236,0.0022821812776616236,optimal,10.0,1.892330776437196e-14,-0.004937453997966737,-0.004937453997985662,6.645947820906109e-16,1.5453064860301572e-15,3.264438829443185,0.016423203268260675,0.008007248235246133,1.0,39.0
8,3.334412097930908,0.7885076229096849,0.05946583969621355,0.014438172373881581,0.01439240934615415,0.0006124566070874516,0.0,0.0,0.0009717363917682853,6.073352448551783e-05,1,0.0028161480999169667,0.0028161480999169667,optimal,10.0,6.771213293443396e-13,-0.004762784647564777,-0.004762784648241899,2.796686343121118e-16,5.538099999254027e-14,2.3758394415360633,0.025031555049932444,0.007504724044119504,1.0,35.0
9,3.766975164413452,0.7882426430959586,0.07882604269702781,0.013812653039693033,0.013750962862522252,0.0005985483847682631,0.0,0.0,0.0011585094645993887,7.24068415374618e-05,1,0.002462445973235815,0.002462445973235815,optimal,10.0,5.834631504107707e-13,-0.004782409625828375,-0.004782409626411835,8.205659094647389e-16,2.6304789268913543e-14,2.5512404270840934,0.030903154382632643,0.007620281310695321,1.0,33.0
