iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7960206362310905,1.3042167484290357e-15,3.636198589127414,2.634853157464458,2.5058908631805514,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,
1,0.4199807643890381,0.7891549796978645,0.8187321466156662,0.017088467215913124,0.016140805082600095,0.005611606104748315,0.0,0.0,0.0,0.0,1.0,0.004034952380376434,0.004034952380376434,unknown,9.0,4.667383461220601e-13,-2215.6310667701387,-2215.6310667701387,6.547762368474175e-11,3.4756239696003925e-11,665674.4389687009,1.2510760713943073e-06,4431.244965277823,1.0,129.0
2,0.8442389965057373,0.7696168202457698,1.0572718221353843,0.048261468478722334,0.04804564176286372,0.004410196683258279,0.0,0.0,0.0011557735644378009,7.223584777736256e-05,1.0,0.005492260808941673,0.005492260808941673,unknown,9.0,4.874378302453437e-13,-7214.7374141164455,-7214.737414116446,2.0599568378852159e-10,4.283827868834067e-13,1201208.391776996,9.1203445604645e-07,14429.456132590325,1.0,132.0
3,1.267777681350708,0.7457951767900687,1.0460757339892566,0.03619799240921697,0.033124597043980304,0.0031637311216449475,0.0,0.0,0.014249439656407403,0.0008905899785254627,1.0,0.002640638396375601,0.002640638396375601,unknown,9.0,8.919634508864082e-13,-25530.68284187031,-25530.68284187031,3.4735327961338816e-10,2.8012708116733415e-12,2259674.536768735,4.846925033557815e-07,51061.353905862095,1.0,138.0
4,1.6960692405700684,0.7144066020806601,1.3850880784232715,0.0597984989265821,0.05419158685617705,0.006751601506278588,0.0,0.0,0.02436284599512701,0.001522677874695438,1.0,0.006975599900663635,0.006975599900663635,unknown,8.0,4.610234174640009e-11,-10432.488254425396,-10432.488254425441,3.4361280769012675e-10,4.928924913247692e-12,1444455.868131681,1.0133716178293888e-06,20864.951441039848,1.0,131.0
5,2.1276750564575195,0.7112711185691787,0.20433859988981956,1542.6131280748732,1318.823072367129,800.2255720168885,0.0,0.0,0.024316974984678455,0.0015198109365424034,32463.353536317616,32462.853536317616,32462.853536317616,unknown,5.0,6.248738411877792,-11163.69592936658,-10508.394758519433,0.031331825352544036,0.3608939603595571,1494232.2577662019,1.3689147905858892e-07,22327.395182189557,1.0,150.0
6,2.5534918308258057,0.7026292593703609,0.6108724957259523,147300.56012958605,147297.65898991653,924.4839533220509,0.0,0.0,0.008254489823737762,0.0009259309880150527,32463.353536317616,29353.158566168597,29353.158566168597,unknown,5.0,5.97019016107707,-12218.428254487619,-11654.776517693865,0.02978251502112569,0.3154382320659505,1563229.0536168532,3.92600927718183e-07,24436.854770370057,1.0,140.0
7,2.9862029552459717,0.7026292353897678,1.5692935305035344e-06,0.03560899397880125,0.03398910902426486,0.001251155857094235,0.0,0.0,0.0082544898232145,0.0009259309880640127,32463.353536317616,0.00608907491672326,0.00608907491672326,unknown,9.0,1.1194282767701984e-11,-11675.579519728803,-11675.579519728812,6.40290874054343e-10,5.617452072142961e-06,1528152.5523053699,1.0269220358221518e-12,23351.888717338763,1.0,262.0
8,3.412463426589966,0.7000188657763456,0.24215958341961835,0.05211947414162813,0.049751209346415116,0.005285128279715691,0.0,0.0,0.014605621261554402,0.0009128513288471501,32463.353536317616,0.008702309997148478,0.008702309997148478,unknown,8.0,1.8325085964259833e-10,-5477.245529958193,-5477.24552995838,3.086301686075435e-10,1.106519797465954e-11,1046631.228888035,2.318269218083099e-07,10954.4691940424,1.0,145.0
9,3.8444876670837402,0.7000188026222961,8.554148466773252e-06,0.04669742632892366,0.04419890074964801,0.003712495897482289,0.0,0.0,0.014605621263034108,0.0009128513289396317,32463.353536317616,0.003564700877257103,0.003564700877257103,unknown,9.0,1.556133358236986e-11,-2725.2850532359926,-2725.285053236008,4.313946105854256e-10,5.7868728960626e-12,738273.0711760132,1.158669982751064e-11,5450.558358937929,1.0,239.0
10,4.268179416656494,0.6935004892055169,0.6504918636803412,0.050734765124463434,0.048684871733145244,0.007098082312861315,0.0,0.0,0.012386156952078065,0.000774134809504879,32463.353536317616,0.004546007438818555,0.004546007438818555,unknown,9.0,1.674313863026689e-11,-3951.6757777189114,-3951.675777718928,3.544083231310655e-10,9.396072098161674e-12,888995.8494803148,7.387479093976244e-07,7903.320680747882,1.0,134.0
11,4.7013232707977295,0.6935004832347049,1.1322173340652388e-06,0.03767561798754778,0.034837420967114834,0.007238052711283696,0.0,0.0,0.012386156952515194,0.0007741348095321996,32463.353536317616,0.0065436253734966745,0.0065436253734966745,unknown,9.0,2.7546090582863063e-11,-1390.4800583058734,-1390.480058305901,1.9217549905341963e-10,5.1431677815579155e-12,527339.0015248975,2.1470388702543367e-12,2780.9427704555756,1.0,255.0
12,5.127104759216309,0.6914063010584236,0.32774904416270867,0.04630263559731321,0.044864964928336366,0.0048628744642866375,0.0,0.0,0.010113858176899082,0.0007736936043443807,32463.353536317616,0.006643186357085605,0.006643186357085605,unknown,9.0,1.2682740393124341e-11,-2293.2462068317627,-2293.246206831773,3.265256382559842e-10,5.6608879063209105e-12,677229.6390158713,4.846925033557815e-07,4586.473482862673,1.0,138.0
13,5.559401988983154,0.6914062912494923,1.5296868873694418e-06,0.03642731132127416,0.034358595482218215,0.006246157971488926,0.0,0.0,0.010113858176783452,0.0007736936043723826,32463.353536317616,0.005367929733634619,0.005367929733634619,unknown,9.0,3.1765324310115846e-11,-2055.8662752153846,-2055.8662752154164,3.752685453469671e-10,5.738448203545393e-12,641217.1746453958,2.3855987447270406e-12,4111.7165232037405,1.0,254.0
14,5.991475582122803,0.6914062178130919,1.2003919705270798e-05,0.042485966235526446,0.04089947321031093,0.004986880893143262,0.0,0.0,0.010113858167399348,0.0007736936044928332,32463.353536317616,0.005593196335075101,0.005593196335075101,unknown,8.0,3.001766933943622e-10,-1871.2642492656962,-1871.2642492659959,1.999213784997596e-10,1.5641753878249084e-11,611752.6692178111,1.9622177898881674e-11,3742.5081597410217,1.0,234.0
15,6.413841009140015,0.6886297425077197,0.4203262394078102,0.036299491650514513,0.0345932337087571,0.002880709556321434,0.0,0.0,0.010614272848820244,0.0006633920530512653,32463.353536317616,0.005206645416683792,0.005206645416683792,unknown,9.0,1.652885242627674e-10,-1628.9831028190065,-1628.983102819172,2.8615901020680886e-10,6.76877673502223e-12,570777.7297221057,7.387479093976244e-07,3257.9572380146815,1.0,134.0
16,6.83442759513855,0.6834276236505592,0.9324808601748011,0.05320005080213032,0.052297972545171365,0.005544349462413566,0.0,0.0,0.008026684374782898,0.0005016677734239311,32463.353536317616,0.004904728912175191,0.004904728912175191,unknown,9.0,2.5754567266953357e-11,-997.4932173417465,-997.4932173417726,1.2194373484152417e-10,5.6985479042409556e-12,446630.6047927886,2.118708312408859e-06,1994.963709299041,1.0,124.0
17,7.279252529144287,0.6834276096268375,2.644667775746055e-06,0.03559562145213203,0.03403097947201016,0.0066718094005084804,0.0,0.0,0.008026684375406302,0.0005016677734628939,32463.353536317616,0.006806401512622267,0.006806401512622267,unknown,9.0,5.666999245840008e-11,-1405.8354470501472,-1405.8354470502031,2.827068133163332e-10,5.442667200370856e-12,530238.5414988678,4.987694347855988e-12,2811.6542280069643,1.0,247.0
18,7.714251756668091,0.683427598020911,3.1308694806507735e-06,0.06316697732852494,0.06247909406400644,0.004690646830891997,0.0,0.0,0.008026684375958926,0.0005016677734974329,32463.353536317616,0.0106089696865852,0.0106089696865852,unknown,9.0,6.905004580530929e-11,-687.0131909603188,-687.0131909603876,1.6164431029601288e-10,4.003439466711811e-12,370661.67061360576,8.446704174255258e-12,1374.0125743578599,1.0,242.0
19,8.150087118148804,0.6834275792225117,5.7614643274011545e-06,0.027658170115538602,0.025948594259361624,0.00521700757333558,0.0,0.0,0.008026684376681123,0.0005016677735425702,32463.353536317616,0.008246134076357443,0.008246134076357443,unknown,9.0,1.2375344374410052e-10,-532.2342094736159,-532.2342094737397,1.0197508812445584e-10,4.64693336490047e-12,326244.47008389427,1.7659960108993508e-11,1064.4529673690827,1.0,235.0
20,8.588039875030518,0.6834275516543065,7.354473559870659e-06,0.05974597506607816,0.058970279064266475,0.005259283371521426,0.0,0.0,0.008026684377562494,0.0005016677735976559,32463.353536317616,0.009719538656952924,0.009719538656952924,unknown,9.0,1.0291328932314648e-10,-702.4796234090046,-702.4796234091085,1.529018022166029e-10,3.6173005030727504e-12,374804.1424292373,1.9622177898881674e-11,1404.9459794553748,1.0,234.0
21,9.02308201789856,0.6834275440390196,1.848879099163906e-06,0.02629567707287388,0.024762500829787405,0.003722032142767606,0.0,0.0,0.008026684377988695,0.0005016677736242934,32463.353536317616,0.009398234197854287,0.009398234197854287,unknown,9.0,8.839804687212006e-11,-848.2321149430215,-848.2321149431094,3.0998113431231604e-10,5.093611731704612e-12,411875.70175242436,4.488924913070389e-12,1696.4530030164224,1.0,248.0
22,9.466499090194702,0.6834273777216816,5.460518063071733e-05,0.08808627400379739,0.08751733988264532,0.005956444037173401,0.0,0.0,0.008026684382086546,0.0005016677738804091,32463.353536317616,0.011776229404137003,0.011776229404137003,unknown,9.0,9.032662472750036e-11,-463.7114730115593,-463.71147301164984,1.534203643956742e-10,3.994953798387107e-12,304494.41939133825,1.7933064502448899e-10,927.4052239754802,1.0,213.0
23,9.900412321090698,0.6834273659263513,3.89668005069814e-06,0.02686250071016355,0.025061000321538175,0.005395604239518536,0.0,0.0,0.008026684382600981,0.0005016677739125613,32463.353536317616,0.008829831673741836,0.008829831673741836,unknown,9.0,1.0758562304656608e-10,-458.1065326525038,-458.1065326526106,2.093771186453452e-10,4.20015299341799e-12,302675.6624600346,1.2874110919456267e-11,916.1956847777266,1.0,238.0
24,10.327519655227661,0.6816388275767247,0.6259440816888134,0.08039549066477089,0.08009508338501437,0.006924607390766266,0.0,0.0,0.0005122004105855629,3.201252566159768e-05,32463.353536317616,0.010310412758717382,0.010310412758717382,unknown,9.0,1.46063527321222e-10,-446.1615886171139,-446.16158861726194,2.3542586186680933e-10,6.316574170668788e-12,298676.8630302208,2.118708312408859e-06,892.304735642505,1.0,124.0
25,10.760013818740845,0.6816388192223658,2.268082594367504e-06,0.025539247028081108,0.025197617315127742,0.004131691075174985,0.0,0.0,0.0005122004110146329,3.2012525688414556e-05,32463.353536317616,0.007820432602316655,0.007820432602316655,unknown,9.0,1.2686796544459968e-11,-678.3752044388837,-678.3752044388955,2.017337147560064e-10,4.925429314478727e-12,368335.90302571474,6.1576473430320836e-12,1356.7361630321511,1.0,245.0
26,11.192656993865967,0.6816387976103558,1.2908187315294071e-05,0.09303667734095848,0.0927190699084971,0.0076638800021259345,0.0,0.0,0.0005122004118095283,3.201252573809552e-05,32463.353536317616,0.008933362302719568,0.008933362302719568,unknown,10.0,3.2534854376665217e-12,-139.9875636636125,-139.98756366361818,1.8001444270062785e-10,1.1017816647144753e-11,167213.2441867782,7.719596243119218e-11,279.95125345013946,1.0,221.0
27,11.625789880752563,0.6816387884756514,3.2532342073400674e-06,0.024873824366031368,0.024307739149832624,0.0052515337524916255,0.0,0.0,0.0005122004122523408,3.20125257657713e-05,32463.353536317616,0.007639143386088117,0.007639143386088117,unknown,9.0,1.8640187625292028e-11,-394.19394085540705,-394.19394085542524,1.342481919454011e-10,1.968551808279146e-12,280773.1498815758,1.158669982751064e-11,788.369826583896,1.0,239.0
28,12.057660818099976,0.6807938239220619,0.2721475458557078,0.09020138767601983,0.08987357474830139,0.007672344540173224,0.0,0.0,0.00040746766494997866,2.5466729059373666e-05,32463.353536317616,0.009288020971051828,0.009288020971051828,unknown,9.0,5.019079048251654e-10,-446.20505006602,-446.20505006652274,1.9453537398220123e-10,1.3561986849983926e-11,298678.7633328695,9.1203445604645e-07,892.3878108405229,1.0,132.0
29,12.481990814208984,0.6798964900205685,0.2709672795540925,0.02532567455914088,0.02486828270300257,0.004788796351817928,0.0,0.0,0.00016042686768128964,1.0026679230080602e-05,32463.353536317616,0.0074328472591809,0.0074328472591809,unknown,9.0,7.57024146697018e-12,-546.6507852213939,-546.6507852214022,1.1698929115776623e-10,2.471033519662293e-12,330644.59907871723,8.20831010441805e-07,1093.2843685611072,1.0,133.0
30,12.912217140197754,0.6778520645557713,0.5597927269889896,0.08114732643146133,0.08076597410116283,0.007857863225103774,0.0,0.0,0.0,0.0,32463.353536317616,0.006523797036826783,0.006523797036826783,unknown,10.0,6.3810044813766454e-12,-536.113619185122,-536.1136191851284,1.1158902009506127e-10,3.945495812671743e-12,327410.7774949224,1.7161537330511758e-06,1072.2023788940942,1.0,126.0
31,13.341469526290894,0.6770043338498497,0.4413512545245544,0.028175936388180684,0.02772102053908725,0.005042659181652796,0.0,0.0,0.0,0.0,32463.353536317616,0.005288192321225558,0.005288192321225558,unknown,9.0,3.378997020466028e-11,-410.0400247850638,-410.0400247850978,1.2188155269536342e-10,5.152007965043478e-12,286363.2035912377,1.5445383597460583e-06,820.0619529535983,1.0,127.0
32,13.767159938812256,0.6750827595158033,0.522413902781092,0.05870666747973962,0.05838773767235619,0.006111047052742695,0.0,0.0,0.0,0.0,32463.353536317616,0.004692688611884962,0.004692688611884962,unknown,9.0,2.4927967214161094e-11,-583.9303718536779,-583.9303718537024,3.039723343285788e-10,3.7928821970677024e-12,341721.84851592267,1.5445383597460583e-06,1167.8422036298798,1.0,127.0
