iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
0,0.0,0.789747304854379,1.5779233923431831e-15,3.2256994354917636,2.0054085790763048,2.526553636695457,0.0,0.0,0.0,0.0,25.623685565789607,0.5,1.0,1.0,,,,,,,,,,,,
1,1.747476577758789,0.7936524534409277,2.1600746283137893,3.1110785742870513,1.9417515201268287,2.4307223061207757,0.0,0.0,0.0,0.0,24.190325115870177,0.5,0.9842919249944442,1.0183706870785783,70.60097364252931,70.64856460718202,0.03125,True,5.0,-35.247371131579214,0.1249231316242273,1.512095507742164e-13,1.1368683772161603e-13,70.64856460718202,0.015384670225930269,-7.401955252217975e-06
2,3.5367894172668457,0.7952186036464511,1.2385751934791902,3.0735159190061014,1.8233902923535177,2.4742166328223716,0.0,0.0,0.0,0.0,22.62992394718801,0.5,0.9531732266256191,1.0575637555458508,24.24497782920048,24.383549046186182,0.0625,True,4.0,-32.87936073399206,0.02463475095765868,5.937071034881344e-14,7.105427357601002e-15,24.383549046186182,0.04421782235066398,-4.195619378707564e-05
3,5.295718193054199,0.8102128223178647,4.6771530882154835,3.168353772875498,1.7093355263258323,2.6668895764679603,0.0,0.0,0.061045752289712985,0.00536037619064933,20.972976085234603,0.5,0.8923251913128601,1.1482499890910327,41.077867173000655,41.15129713671858,0.125,True,3.0,-30.72322069508172,0.06694447513399145,1.0445225822270283e-13,3.552713678800501e-14,41.15129713671858,0.02677502531068269,-2.5281223335837712e-05
4,7.051331520080566,0.8054877933703011,2.553655764159903,2.364102033160231,1.1029908889468247,2.091025949645922,0.0,0.0,0.0,0.0,9.565012047610121,0.5,0.6496953192184887,1.5154317354616038,5.496404407851836,5.965228077228244,0.5,True,1.0,-29.20604421764469,-0.008331044102278745,4.898700110659956e-14,2.4868995751603507e-14,5.965228077228244,0.12873569631149104,-0.0001162033276955415
5,8.882190227508545,0.8004924821401913,2.2838819887339845,2.3922379650394707,1.0894329160600293,2.1250504275393065,0.0,0.0,0.1417712354327909,0.008860702214549432,9.546817474888332,0.5,0.5653848258056516,1.8629810740793011,10.564789709006133,10.819666673446191,0.25,True,2.0,-12.376359970189622,-0.003068682876454523,7.944164846403702e-14,1.4210854715202004e-14,10.819666673446191,0.05787972810415433,5.676953910576271e-05
6,10.707777738571167,0.8013650405690375,2.270121733572236,2.3379118799169545,1.054196912915237,2.086744073205148,0.0,0.0,0.0,0.0,9.030169986462122,0.5,0.5565203530797533,1.9249554627583536,72.78072563036443,72.82189431184447,0.03125,True,5.0,-13.979074929756072,0.04764026733364597,6.225279499424973e-13,1.1546319456101628e-13,72.82189431184447,0.005401142262943165,6.184400706368496e-06
7,12.466588020324707,0.8018198432496233,3.624038037812276,2.2069347688091807,0.9965606305980821,1.9647723324323727,0.0,0.0,0.1305277465690879,0.008642802121876673,7.775270710406295,0.5,0.48496553784668545,2.432714442121408,14.546755777458262,14.76743220365804,0.25,True,2.0,-13.104901518652031,0.00443915760063017,1.614440034407132e-13,3.907985046680551e-14,14.76743220365804,0.01791361475236797,-8.276692255770041e-06
8,14.221413850784302,0.8017372789439909,1.5863764642155531,2.188856391284097,0.9574842498538824,1.9605722418950402,0.0,0.0,0.1742997911668544,0.011494127630746146,7.771988180604508,0.5,0.47736010644217697,2.5222378400187355,50.801276615126284,50.89860333690387,0.03125,True,5.0,-11.78747625442979,0.0014063458440271293,1.7189005564253752e-12,5.044853423896711e-13,50.89860333690387,0.0018537222219678743,-4.097554183060327e-06
9,15.981898069381714,0.8003734566099376,1.4483262481600556,2.11064744995102,0.8995958227761525,1.8994436831663681,0.0,0.0,0.19368018473661625,0.012899755383044607,7.387528392467196,0.5,0.46232894530472535,2.709281883608437,23.193801642938485,23.42072116765621,0.0625,True,4.0,-11.89801362164923,-0.02293460993686138,9.291881422556331e-13,1.7763568394002505e-15,23.42072116765621,0.003381357090220815,-4.214791525043669e-05
