iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.8060796666030555,1.608866012213709e-15,3.4264097511407066,2.319727004490311,2.521735594258551,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,
1,0.4397284984588623,0.7973348590513506,0.49131057298210945,0.03044290158738985,0.028347527558030154,0.010461898281702638,0.0,0.0,0.0037062950165268616,0.00023164343853292885,1.0,0.009358890499294151,0.009358890499294151,unknown,9.0,3.3814319138767908e-12,-22787.504211444062,-22787.50421144407,2.0424662218769586e-10,1.340505225606086e-10,2134828.09455505,2.318269218083099e-07,45574.9738369588,1.0,145.0
2,0.8726921081542969,0.79066143567924,0.4891711122746373,0.025440236103513574,0.024630779324239755,0.005171128873228583,0.0,0.0,0.0037134551376825087,0.0002320909461051568,1.0,0.005934540421019569,0.005934540421019569,unknown,9.0,9.042799256290225e-13,-6398.02916888588,-6398.029168885883,2.3043483206897101e-10,1.1948036770794917e-12,1131190.8903857116,4.3622325302020334e-07,12796.038978381535,1.0,139.0
3,1.3152987957000732,0.7822233175119683,0.4762830225785098,0.035947260987847576,0.034194322911312414,0.00454747035624584,0.0,0.0,0.01011307898339514,0.0006320674364621963,1.0,0.008077338009524669,0.008077338009524669,unknown,9.0,1.0034892909039104e-12,-11389.300993737303,-11389.300993737304,2.6681213241268666e-10,4.122999073211613e-12,1509253.1321527236,3.180067514517283e-07,22778.589091404527,1.0,142.0
4,1.7510673999786377,0.7727032056979498,0.37666833766628827,0.04811997052717034,0.044103534393030476,0.008447703772193654,0.0,0.0,0.01729294996684444,0.0010808093729277775,1.0,0.005361167649214114,0.005361167649214114,unknown,9.0,1.1438078633227502e-12,-25170.731474955253,-25170.731474955253,2.1176660668845604e-10,4.884896800093976e-12,2243686.470196548,1.6900182599825792e-07,50341.43358766474,1.0,148.0
5,2.1902220249176025,0.7530682692824052,0.9528375345518514,0.07723912287116617,0.07591105294060123,0.006844469586118444,0.0,0.0,0.01251188952321125,0.0007819930952007031,1.0,0.007312293890054378,0.007312293890054378,unknown,9.0,5.959839005932488e-12,-13494.181634105393,-13494.181634105396,2.8753334089348325e-10,5.379594427779246e-12,1642804.0131212575,5.983858066120759e-07,26988.332164969244,1.0,136.0
6,2.6263129711151123,0.7520086205539139,0.04880239274075851,0.059810174996357796,0.057856133131444665,0.007454694429004468,0.0,0.0,0.013204073406638706,0.0008296155536912835,1.0,0.0053931440981052625,0.0053931440981052625,unknown,9.0,1.4924661841846932e-12,-22852.938570223818,-22852.93857022381,6.030636037525274e-10,8.074536882079645e-12,2137890.226121704,2.282964069396189e-08,45705.85214208472,1.0,167.0
7,3.060482978820801,0.7499037175153247,0.14252565617822766,0.062169545614893795,0.060360463492374165,0.006580926471618714,0.0,0.0,0.013263983043744598,0.0009263267035386708,1.0,0.004525755549431439,0.004525755549431439,unknown,9.0,7.173513632647807e-13,-10222.710838692608,-10222.710838692608,3.4535505114355585e-10,5.256106936125361e-12,1429858.9619719635,9.979388823371132e-08,20445.40070548497,1.0,153.0
8,3.499297618865967,0.7493082482531732,0.03660690261736232,0.06700483456305195,0.06502625172497434,0.008651162349682676,0.0,0.0,0.013544243076432094,0.000953777118117941,1.0,0.005700745423210676,0.005700745423210676,unknown,9.0,1.1192812981150737e-12,-12857.065052835711,-12857.065052835716,3.0866158692365957e-10,1.0213709958746718e-11,1603557.115226408,2.282964069396189e-08,25714.09974674697,1.0,167.0
9,3.9424655437469482,0.7332354986922752,1.3178821073455116,0.12669155348459477,0.12512365340579198,0.007725023070377753,0.0,0.0,0.01830696865374794,0.0011441855408592463,1.0,0.0045823760756772474,0.0045823760756772474,unknown,9.0,3.2181238601349614e-13,-12250.702525041723,-12250.702525041723,3.9859052099565973e-10,1.999689289689076e-11,1565282.8072996505,9.1203445604645e-07,24501.38357225887,1.0,132.0
