iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.8184506746738583,1.4518049907399384e-15,4.016164843622626,3.2115767777011848,2.4115046448391557,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,
1,0.43746352195739746,0.8067402911670318,0.6947169158497692,0.042995645723138666,0.04218602895706221,0.0058261458498955815,0.0,0.0,0.005722788221889874,0.00045184480992651807,1.0,0.01311504733475915,0.01311504733475915,unknown,9.0,1.1906369427879816e-12,-19752.562213973702,-19752.562213973702,1.9840962536625203e-10,1.5889945710435685e-10,1987588.012294196,3.5334083494636473e-07,39505.10014208194,1.0,141.0
2,0.8714210987091064,0.8051896436608823,0.14950644266924687,0.05135353091999868,0.05023516429266878,0.006757368153676579,0.0,0.0,0.00824326282945742,0.0005152039268410888,1.0,0.006032018665394857,0.006032018665394857,unknown,9.0,8.442979724317729e-12,-4840.572217891926,-4840.572217891934,1.2832803758893304e-10,2.2489396679650794e-12,983924.6784470672,1.5210164339843212e-07,9681.127032754632,1.0,149.0
3,1.3147790431976318,0.7810134313332343,1.2208372357483719,0.06660937845533117,0.061983129882102625,0.00810773772744462,0.0,0.0,0.022468796553736403,0.0017125121111898518,1.0,0.0069435648707140436,0.0069435648707140436,unknown,10.0,4.902483369177062e-13,-6457.0249230668505,-6457.024923066851,1.268439688482155e-10,4.592977882616379e-12,1136393.3964103467,1.1259684642548765e-06,12914.029603192495,1.0,130.0
4,1.7472665309906006,0.7720650370447142,0.29934141234039224,0.08977845819921867,0.08390706941093727,0.016379951753472993,0.0,0.0,0.02642625304515389,0.0021071864618943774,1.0,0.015184672975233696,0.015184672975233696,unknown,10.0,3.143241734437043e-12,-36697.20496273159,-36697.20496273159,4.0290345597189964e-10,1.0497549621218081e-11,2709136.7408131002,1.1088209803745703e-07,73394.37335026855,1.0,152.0
5,2.18811297416687,0.7338623025695508,1.6200437599625317,0.18165395013510452,0.17465023096494944,0.02776321217057654,0.0,0.0,0.03207521131703783,0.0036533735785630453,1.0,0.024409417312977744,0.024409417312977744,unknown,9.0,5.123959378690938e-12,-41491.90295221914,-41491.902952219156,7.756363535739204e-10,1.8503076407578993e-11,2880683.6506415615,5.983858066120759e-07,82983.73613322678,1.0,136.0
6,2.6324188709259033,0.7338615952492246,5.9852894084271526e-05,10.29734476492649,0.6241754098081123,10.278326206487646,0.0,0.0,0.03207521381735884,0.0036533736698897154,347.71360096154365,347.21360096154365,347.21360096154365,unknown,4.0,2.0801644125878305,-6982.550154907214,-6970.60268767902,0.044710418556389867,0.5666929271725777,1181736.1770378363,5.064827095110519e-11,13965.100471895083,1.0,225.0
7,3.078735113143921,0.7338609291715359,2.7780791040589885e-05,10.3023188400435,0.5813574705104704,10.285818990956303,0.0,0.0,0.03207521619575254,0.003653373756762871,347.71360096154365,347.4660398651312,347.4660398651312,unknown,4.0,2.0813329609789317,-28743.527329969904,-28731.570738778457,0.04471073420868647,0.5667773505095015,2397644.8388769454,1.158669982751064e-11,57487.052078014895,1.0,239.0
8,3.519782543182373,0.7338603878841962,2.504348353539412e-05,10.301263114098678,0.5800430175156487,10.284835787943468,0.0,0.0,0.032075218068269185,0.0036533738251583714,347.71360096154365,347.4346232991993,347.4346232991993,unknown,4.0,2.0808252278690937,-23358.364741200818,-23346.408950406756,0.044710670850370046,0.5666737836649852,2161399.182585323,1.158669982751064e-11,46716.735137729265,1.0,239.0
9,3.9659368991851807,0.7338597250537363,2.77129816080929e-05,10.30223001801191,0.5809875796757378,10.285750926278137,0.0,0.0,0.03207522039038935,0.0036533739099760794,347.71360096154365,347.46401438096626,347.46401438096626,unknown,4.0,2.081346307828045,-28603.376743370158,-28591.420246170026,0.04471073346458535,0.5667849136722922,2391792.4880517675,1.158669982751064e-11,57206.75733271009,1.0,239.0
10,4.407031536102295,0.7338591652062184,2.5468792922506623e-05,10.301059482868823,0.579817131204988,10.284644568726,0.0,0.0,0.032075222309922824,0.003653373980088915,347.71360096154365,347.4278693660569,347.4278693660569,unknown,4.0,2.0805503649104304,-24159.28132462636,-24147.32555425171,0.04471064341330109,0.5666237525172664,2198105.8715983657,1.158669982751064e-11,48318.56553165003,1.0,239.0
11,4.853600025177002,0.7338584973967488,2.7816885484480417e-05,10.302040463231734,0.5803069347831251,10.28559949193355,0.0,0.0,0.03207522479967628,0.003653374071029592,347.71360096154365,347.45901461904015,347.45901461904015,unknown,4.0,2.0812241710790835,-28818.26177572195,-28806.305369101567,0.04471071748649017,0.5667663176352321,2400760.0005845665,1.158669982751064e-11,57636.52167031925,1.0,239.0
12,5.29462194442749,0.7338579192333347,2.5882151364350555e-05,10.301021171988145,0.5796730336232448,10.284614319492562,0.0,0.0,0.03207522678343849,0.0036533741434884434,347.71360096154365,347.4268159016116,347.4268159016116,unknown,4.0,2.0804840980889003,-24949.67690454547,-24937.72111649437,0.04471063552648909,0.5666160390805793,2233781.124023725,1.158669982751064e-11,49899.36215902168,1.0,239.0
13,5.746650695800781,0.7338572538704037,2.7765882501237258e-05,10.302027744257781,0.5803747261752267,10.285582927644098,0.0,0.0,0.03207522924044692,0.0036533742332330744,347.71360096154365,347.45846828866064,347.45846828866064,unknown,4.0,2.081202693539127,-28712.67762059255,-28700.72121399012,0.04471072271297766,0.5667680315401724,2396358.144686047,1.158669982751064e-11,57425.35942879499,1.0,239.0
14,6.192798137664795,0.7338566760129895,2.5875238614065256e-05,10.301016439629233,0.5796464165255176,10.284611079764092,0.0,0.0,0.03207523123380307,0.003653374306042353,347.71360096154365,347.4267228491825,347.4267228491825,unknown,4.0,2.080486728641061,-24936.47602890669,-24924.520248394976,0.04471063116193945,0.5666226255376083,2233184.5132092983,1.158669982751064e-11,49872.952593150825,1.0,239.0
15,6.637699604034424,0.733856010856002,2.7761584466134257e-05,10.302033656292746,0.5804034018549207,10.285587231027968,0.0,0.0,0.032075233687420934,0.003653374395663139,347.71360096154365,347.45861822022846,347.45861822022846,unknown,4.0,2.0812049728340747,-28703.791120141985,-28691.83471132075,0.044710715874132764,0.5667745039736676,2395987.199107275,1.158669982751064e-11,57407.58267876342,1.0,239.0
16,7.09350848197937,0.7338554340207167,2.5852362114878636e-05,10.301019862793918,0.5796647012587417,10.28461347782635,0.0,0.0,0.03207523567449089,0.003653374468242807,347.71360096154365,347.42681578741434,347.42681578741434,unknown,4.0,2.0804895022636054,-24892.367478099066,-24880.41169360905,0.04471063998580112,0.5666292831205268,2231210.1375403777,1.158669982751064e-11,49784.73441458824,1.0,239.0
17,7.5392491817474365,0.7338547688285924,2.776231817308519e-05,10.302035101069768,0.5804061379066133,10.285588523713566,0.0,0.0,0.03207523812892976,0.00365337455789358,347.71360096154365,347.45866920871384,347.45866920871384,unknown,4.0,2.081206942085824,-28705.30682132283,-28693.3504109164,0.044710719994900935,0.5667809910899357,2396050.522346066,1.158669982751064e-11,57410.617202135596,1.0,239.0
18,7.980000257492065,0.7338541920336076,2.5851461555639734e-05,10.301018885823572,0.5796703217719307,10.284612182501641,0.0,0.0,0.03207524011556656,0.0036533746304574254,347.71360096154365,347.42677940287444,347.42677940287444,unknown,4.0,2.0804892275307254,-24890.627722207624,-24878.67194037505,0.044710635281734634,0.566635263908564,2231132.4139227807,1.158669982751064e-11,49781.256988773035,1.0,239.0
19,8.431950569152832,0.7338535269173052,2.7760736028931486e-05,10.302033318496791,0.5804099457440325,10.285586523407707,0.0,0.0,0.03207524256977384,0.0036533747200997377,347.71360096154365,347.45860978547455,347.45860978547455,unknown,4.0,2.0812066049885654,-28702.034497381628,-28690.078090561034,0.044710714647998286,0.5667869537018164,2395913.9739709334,1.158669982751064e-11,57404.07380957492,1.0,239.0
20,8.874825716018677,0.7338529501410156,2.5851043754017252e-05,10.301018857618223,0.5796746343297448,10.28461191117311,0.0,0.0,0.03207524455638039,0.003653374792662477,347.71360096154365,347.4267780830441,347.4267780830441,unknown,4.0,2.0804889594998244,-24889.81924384214,-24877.86346185465,0.04471063581891485,0.5666412651708044,2231096.355255268,1.158669982751064e-11,49779.64700354828,1.0,239.0
21,9.323187112808228,0.7338522851127302,2.775889824996388e-05,10.302033374822273,0.5804150944641094,10.285586289273427,0.0,0.0,0.03207524701012138,0.0036533748822877563,347.71360096154365,347.45860992091673,347.45860992091673,unknown,4.0,2.0812065855644666,-28698.238041846336,-28686.281635126248,0.044710715342653334,0.5667930135962745,2395755.362924033,1.158669982751064e-11,57396.47370677121,1.0,239.0
22,9.764966487884521,0.7338517083989622,2.5849642595511886e-05,10.301019042178494,0.5796794513067003,10.284611824516865,0.0,0.0,0.03207524899646236,0.0036533749548407946,347.71360096154365,347.4267832081451,347.4267832081451,unknown,4.0,2.0804887899260835,-24887.12249511948,-24875.16671231895,0.04471063545045649,0.5666472868777451,2230975.4270533086,1.158669982751064e-11,49774.24831150839,1.0,239.0
23,10.212049961090088,0.7338510434534328,2.7757171289399164e-05,10.302034076235836,0.5804201754179115,10.285586705080272,0.0,0.0,0.03207525144979079,0.003653375044451003,347.71360096154365,347.45863202160604,347.45863202160604,unknown,4.0,2.081206679625713,-28694.666232896758,-28682.709824415437,0.0447107170156087,0.5667990937742841,2395606.3161720447,1.158669982751064e-11,57389.33234227878,1.0,239.0
24,10.655253410339355,0.7338504668028493,2.5848227794246015e-05,10.301019406571092,0.5796843650369006,10.284611912524166,0.0,0.0,0.03207525343584666,0.0036533751169936265,347.71360096154365,347.4267941690259,347.4267941690259,unknown,4.0,2.0804887561101837,-24884.394927786132,-24872.439143583768,0.04471063795616272,0.5666533428688205,2230853.321439452,1.158669982751064e-11,49768.79686852017,1.0,239.0
25,11.100527286529541,0.7338498019395456,2.775545533805205e-05,10.302034704849126,0.5804252022589459,10.285587051021583,0.0,0.0,0.032075255888773135,0.003653375206589152,347.71360096154365,347.4586517679072,347.4586517679072,unknown,4.0,2.081206757761472,-28691.117226585076,-28679.160817056436,0.04471071832194359,0.5668051747487901,2395458.2194991093,1.158669982751064e-11,57382.23696644537,1.0,239.0
26,11.542653560638428,0.7338492253502134,2.5846855265847503e-05,10.301019266374952,0.5796892069457511,10.28461149918358,0.0,0.0,0.032075257874552565,0.0036533752791216767,347.71360096154365,347.42678821755516,347.42678821755516,unknown,4.0,2.080488537070114,-24881.752595446313,-24869.796812319877,0.044710636539939556,0.5666593468615024,2230734.8642146946,1.158669982751064e-11,49763.50870545644,1.0,239.0
