iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.7975952691105745,1.2462222543165675e-15,4.564583779301644,3.723899318524946,2.639696752233697,0.0,0.0,0.0,0.0,1.0,1.0
1,0.4868505001068115,0.7946729144429135,0.2570043199593928,0.7421531912829324,0.007930211679776806,0.7398120772591117,0.0,0.0,0.056118318219745555,0.004509922506613556,1.0,1.0561183182197456
2,0.7931199073791504,0.7901042350129523,0.6184379853239155,0.5597181551734363,0.012610024848996381,0.33501708112333767,0.0,0.0,0.33661112651089303,0.03953459553902674,3.3333333333333335,0.6273307051723895
3,0.9929802417755127,0.788514845554249,0.49631093589357,0.033275055751633496,0.033068848551283975,0.003636907162408553,0.0,0.0,0.0006734219023631915,4.208886889769947e-05,3.3333333333333335,0.02511321111584397
4,1.1698265075683594,0.7872653953211487,0.10464053364109377,0.012107898291332428,0.012097420001526025,1.1108316717130472e-05,0.0,0.0,0.0004638765048666782,4.1227849178211706e-05,3.3333333333333335,0.0030210032558834234
5,1.3624906539916992,0.7862872190546956,0.09200372371235249,0.04153683820464472,0.04144135517996533,2.93842857933475e-05,0.0,0.0,0.002761399825789379,0.0002066380290231401,3.3333333333333335,0.010629448419729274
6,1.5713346004486084,0.7854916456776508,0.0772385754395368,0.016127851213164526,0.015986886557932744,1.3789835559366808e-05,0.0,0.0,0.0017390495670382283,0.00021563835674573689,3.3333333333333335,0.005796831890127428
7,1.7908930778503418,0.7848650217789201,0.06692472255703347,0.03197836614284193,0.03196182795976523,6.293228640214727e-06,0.0,0.0,0.0007383799558198234,0.0001093565306349957,3.3333333333333335,0.006871144478817944
8,2.01995587348938,0.7841693226013152,0.07248949029329801,0.015736761950179708,0.015730258420773257,3.342045522094483e-06,0.0,0.0,0.0003339068412988033,3.9943635345165984e-05,11.111111111111112,0.006686241941935614
9,2.2584261894226074,0.7839713340709277,0.01949736980090859,0.022225441573302578,0.022221199371736656,1.6763705030713854e-06,0.0,0.0,0.0003731381834977121,4.909696460729529e-05,11.111111111111112,0.006643595109934438
10,2.4971039295196533,0.7837766984159017,0.01992935570093721,0.019527648419443638,0.01952763888856749,5.0741994458741e-07,0.0,0.0,1.9286617933683692e-05,1.2054136208552307e-06,37.037037037037045,0.006857890864753145
11,2.7338175773620605,0.7837157442943627,0.0057788949055253905,0.011236461144242458,0.011236298378006191,1.256262711121709e-07,0.0,0.0,4.990861904952126e-05,6.981008136428685e-06,37.037037037037045,0.0068296237069683996
12,2.9677951335906982,0.7836516447529983,0.006320581036587456,0.015076009954071786,0.015075807857964323,2.8696808051033423e-07,0.0,0.0,6.208537791341229e-05,9.177749001734736e-06,123.45679012345683,0.006693365658950914
13,3.201866388320923,0.7836318359469682,0.001977088470525355,0.012091808543352438,0.01209180852984364,2.2990094601843488e-08,0.0,0.0,5.663988399129405e-07,3.997372049167891e-08,123.45679012345683,0.006763291441656215
14,3.359992504119873,0.7822221720653187,0.13702581600699734,0.12573804179635553,0.12573789069395447,3.6819190691017586e-06,0.0,0.0,0.00014087120192463054,1.7222335922439935e-05,411.5226337448561,0.020402665688247442
15,3.53251314163208,0.782163451684408,0.00316576540198298,0.025287183105117034,0.0252871829710429,2.4909146638912093e-08,0.0,0.0,2.6038613324397275e-06,1.6274133327748297e-07,411.5226337448561,0.0066294397674764634
16,3.733827829360962,0.7821461045355376,0.0010060214894631841,0.023751689077283925,0.023751686694798393,4.469147906444647e-08,0.0,0.0,1.036992315717189e-05,8.804665604647197e-07,411.5226337448561,0.006980755451833434
17,3.9482808113098145,0.7821376007391055,0.000682790557764251,0.04437813214301599,0.04437812647431854,1.434205728706876e-07,0.0,0.0,1.457497757201276e-05,2.404188814950775e-06,1371.7421124828536,0.006848963637632739
18,4.163492441177368,0.7821348993385346,0.00022685480105050538,0.022427690684914008,0.0224276906725382,8.02755356263517e-09,0.0,0.0,7.450215869370114e-07,4.656384918356321e-08,1371.7421124828536,0.007033413927346352
19,4.3747642040252686,0.7821321198500433,0.0002237105185226028,0.024377889116019676,0.02437788911582322,7.22887047797946e-10,0.0,0.0,9.533401830463806e-08,7.340886607788699e-09,1371.7421124828536,0.0071641876150070356
20,4.58492112159729,0.782129181116668,0.0002360826060779486,0.018694867920761145,0.018694867194404767,2.766213376285565e-08,0.0,0.0,3.971756331822007e-06,4.703726161556232e-07,4572.4737082761785,0.0064029178510067505
21,4.797199487686157,0.7821283932106187,6.532857827113762e-05,0.027078639993251875,0.02707863998906831,2.0199503603063325e-09,0.0,0.0,3.747759302896725e-07,4.7592658695971846e-08,4572.4737082761785,0.006676606317348033
22,5.0199174880981445,0.782127544962271,6.884137099066516e-05,0.028889839641444225,0.028889839639560922,1.5530272677676817e-09,0.0,0.0,3.05150456458847e-07,2.946945990706107e-08,15241.579027587262,0.006269161139246779
23,5.238552570343018,0.7821272830248528,2.125890065624915e-05,0.016620064043112667,0.016620064043099517,4.276150666314724e-10,0.0,0.0,2.024452822046996e-08,1.5901333340340162e-09,15241.579027587262,0.00634838084849955
24,5.445001840591431,0.7821268191668606,3.768247349468574e-05,0.019834525624365787,0.019834525624280123,5.758647456177532e-10,0.0,0.0,5.829149053726557e-08,3.643218158579098e-09,50805.263425290876,0.007236835208159138
25,5.659217596054077,0.7821267442387906,5.937172943896044e-06,0.014143220968050119,0.014143220967972176,1.2614981883026094e-10,0.0,0.0,4.330032082888735e-08,3.841202723953163e-09,50805.263425290876,0.006828731040754112
