iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7941402369590693,9.354905487120434e-16,3.473996015739683,2.2901393305338047,2.6122615037774013,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,,
1,0.4445815086364746,0.7885184944693686,0.4364997086110901,0.018491228248699147,0.01721907148199433,0.006740111233760093,0.0,0.0,0.0,0.0,1.0,0.004068825257746975,0.004068825257746975,optimal,9.0,4.216038518023511e-13,-0.7003551492406578,-0.7003551492410792,1.108583764577877e-14,5.740008554232841e-15,117.12725040316549,0.003757102126136367,1.3778050709069725,1.0,53.0
2,0.8902394771575928,0.7869189442676169,0.11738730664734508,0.024149270932296844,0.02275413268830113,0.008019609017033183,0.0,0.0,0.0010595297912674995,6.622061195421872e-05,1.0,0.005920372024369555,0.005920372024369555,optimal,10.0,6.635646285214104e-13,-0.8058651815801073,-0.8058651815807709,2.179528856924108e-14,1.2411534300261154e-16,122.9947005250181,0.0009550049507968265,1.582638298388965,1.0,66.0
3,1.344517469406128,0.785173771999656,0.10758197896322381,0.020616496350908002,0.019306436709182646,0.006838385638036761,0.0,0.0,0.0023532754294430247,0.00014707971434018904,1.0,0.005697551525862342,0.005697551525862342,optimal,9.0,9.175101874879462e-13,-1.211789176291506,-1.2117891762924236,1.077678749817798e-14,2.511167194225202e-16,154.59475202337146,0.0006961986091308866,2.4026554169334418,1.0,69.0
4,1.7890315055847168,0.7831936771628607,0.11542853448628795,0.02394542040208994,0.0225058296718022,0.007221192720051454,0.0,0.0,0.003837338233271703,0.00023983363957948145,1.0,0.006206020833474016,0.006206020833474016,optimal,9.0,6.491570204214658e-13,-1.3698787125046687,-1.3698787125053178,1.8212038971494812e-14,2.870964486646829e-16,165.87783365385013,0.0006961986091308866,2.713507881501078,1.0,69.0
5,2.2365195751190186,0.7809282593538557,0.11619941525217013,0.024771879818309955,0.02321020974860705,0.006673332880136135,0.0,0.0,0.005513512621673433,0.00034459453885458957,1.0,0.0057081296798465984,0.0057081296798465984,optimal,9.0,8.235912124026835e-13,-1.738667148196494,-1.7386671481973173,5.896407589476837e-14,2.4428925791472e-16,185.54678834808246,0.0006265787482177979,3.4548655134698483,1.0,70.0
6,2.6818082332611084,0.7785085440215891,0.11402465499806345,0.02729295140657499,0.02540135928315724,0.006804287182676009,0.0,0.0,0.00730601252293589,0.0004566257826834931,1.0,0.00639596920082974,0.00639596920082974,optimal,9.0,3.205250440130228e-13,-2.063747337192255,-2.0637473371925754,2.9421761054418573e-14,5.197541568523579e-16,202.30291825794154,0.0005639208733960181,4.1030616423385835,1.0,71.0
7,3.1405563354492188,0.775857337895981,0.11325321237044611,0.029660958827728907,0.027458804329864108,0.006466036735353635,0.0,0.0,0.009163891765594068,0.0005727432353496292,1.0,0.005615600105294093,0.005615600105294093,optimal,9.0,4.973602351111534e-13,-2.511218631707846,-2.511218631708343,3.7399954588350795e-14,3.852672107288577e-16,223.26500002452698,0.0005075287860564164,4.9995636777206505,1.0,72.0
8,3.5888702869415283,0.7723212015412585,0.13765592473053506,0.03274876022625191,0.029906638963435827,0.006316431503868772,0.0,0.0,0.011754868579621602,0.0007346792862263501,1.0,0.006307954839073007,0.006307954839073007,optimal,9.0,2.0038478841854331e-13,-2.9912735698922854,-2.9912735698924857,2.605046567152319e-14,3.430055510563059e-16,244.29769455255115,0.0005639208733960181,5.960222013004208,1.0,71.0
9,4.03730034828186,0.7688156214714945,0.12342821642101584,0.036768278099018205,0.03328711993577867,0.006280654840706387,0.0,0.0,0.014297807367556037,0.0008936129604722523,1.0,0.0051953192428647035,0.0051953192428647035,optimal,9.0,3.437450612788218e-13,-3.680189924066171,-3.680189924066515,5.112789742047204e-14,2.8515679641236934e-16,270.40323634895753,0.00045677590745077476,7.337220071188156,1.0,73.0
10,4.483895301818848,0.7623666631423132,0.20420794559448155,0.04255488357883602,0.037537547778271126,0.0057641246274932915,0.0,0.0,0.01919962214422527,0.0011999763840140794,1.0,0.005966004398184097,0.005966004398184097,optimal,9.0,3.5649567159607774e-13,-4.350242849985864,-4.35024284998622,7.554623825437007e-14,6.423082358362718e-16,293.8576344007349,0.0006961986091308866,8.680732253597617,1.0,69.0
11,4.928260087966919,0.7572658908454577,0.14893099661928458,0.04913944573832681,0.04301144757787421,0.006194634742429635,0.0,0.0,0.02294181782539534,0.0014338636140872087,1.0,0.005870995177434801,0.005870995177434801,optimal,9.0,5.048172041689035e-13,-5.372589685631536,-5.3725896856320405,6.217054996780332e-14,4.790995269661652e-16,326.38634217668954,0.00045677590745077476,10.721797013100186,1.0,73.0
12,5.373924732208252,0.7234751977157409,1.055053222770878,0.07894362063397133,0.07431458144934108,0.0049325914370068275,0.0,0.0,0.0241605239396752,0.0021393206854837072,1.0,0.006691441773072415,0.006691441773072415,optimal,9.0,9.895423043286367e-13,-5.3280998753950515,-5.328099875396041,4.958006092872883e-14,8.11296977948858e-15,321.75545729442797,0.00338139191352273,10.638017709724041,1.0,54.0
13,5.818560361862183,0.7229785159703397,0.032228634521687526,29501.229894700307,3485.3266659797546,29294.62516112273,0.0,0.0,0.024153308296372907,0.0021386272113175266,1053596.0655979759,1053595.5655979759,1053595.5655979759,unknown,6.0,13.809106741277299,-1.1245179094854252,10933.115190414255,0.014211356786575494,0.13953213642028658,147.52677399663466,0.00021847450052839252,2.2418069019074327,1.0,80.0
14,6.265354633331299,0.7223661197072424,0.03282815823069292,27720681.399235465,7242974.710967271,26757718.411221232,0.0,0.0,0.02413655810518044,0.002138235773147832,960192848.1317575,960192847.6317575,960192847.6317575,unknown,7.0,209.26657936714912,-1.7549171065919662,9802110.45142136,0.013958919040269947,0.1387349217980015,185.515136165163,0.00017696434542799794,3.5022053513356135,1.0,82.0
15,6.709050178527832,0.7220581326505663,0.01686847244526067,25460359.61344865,1577441.43998524,25411446.046015255,0.0,0.0,0.024132641178951985,0.0021380769932259356,960192848.1317575,905653546.0029663,905653546.0029663,unknown,7.0,188.76689595464768,-1.6386553140996432,8891828.189818785,0.01341485185184497,0.13440048303162858,179.36599608413889,9.404610869860067e-05,3.2672849844924117,1.0,88.0
16,7.156722545623779,0.7214214056804265,0.03512191306993401,27560.219737571348,7298.934408040583,26576.140963082948,0.0,0.0,0.024115088856075526,0.0021378020670899476,960192848.1317575,946420.9946026567,946420.9946026567,unknown,6.0,11.798140187879712,-1.6229977843956693,9203.400802711543,0.013303670826858504,0.13432719657519473,178.63198315426968,0.00019662705047555326,3.2385237533304516,1.0,81.0
17,7.606017351150513,0.7211499231987213,0.015016058151631088,23892487.625659347,1167947.6042825659,23863923.888077073,0.0,0.0,0.024111902838832907,0.0021375500748699455,960192848.1317575,843830352.1258013,843830352.1258013,unknown,7.0,165.70917448739254,-1.6018042043047593,7875885.854884689,0.012740958594500154,0.13005323266668486,177.4095637716274,8.464149782874061e-05,3.1936381711800688,1.0,89.0
18,8.051606178283691,0.7205910573451898,0.031116058073206006,25361.872767923887,5231.819797846345,24816.37870235179,0.0,0.0,0.02409807306702806,0.0021375362758407146,960192848.1317575,876949.8636699014,876949.8636699014,unknown,6.0,10.519537662794201,-1.5745416338477747,8119.494420634206,0.012655880344796647,0.13019300416667243,175.84045585156852,0.00017696434542799794,3.1416164888487788,1.0,82.0
19,8.497638940811157,0.7203196600025098,0.015013403125658083,22773452.097128358,1102046.5908111453,22746771.501289617,0.0,0.0,0.024094853584690015,0.0021374207299518864,960192848.1317575,799437739.5764866,799437739.5764866,unknown,7.0,149.51908689658129,-1.6003410734460275,7163657.855221475,0.01222381402072142,0.12714748074845292,177.37825100035172,8.464149782874061e-05,3.1907655958883785,1.0,89.0
20,8.93944501876831,0.7198185333613782,0.02792970353340514,23828.81121569801,4049.048379006645,23482.279514075217,0.0,0.0,0.024083330434252977,0.002137247109662798,960192848.1317575,824671.9764915725,824671.9764915725,unknown,6.0,9.579823386283794,-1.5663580366096794,7328.921252552768,0.012139763964228114,0.1273044780651132,175.3696998953068,0.00015926791088519815,3.125297857425054,1.0,83.0
