iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7968133042299976,7.529898907871221e-16,2.9706561933225855,1.6856747149176856,2.446078284604361,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,,,
1,0.4266064167022705,0.7915603671623758,1.2940265919213163,0.02349062384117039,0.02349026095402411,0.00013057089726659551,0.0,0.0,0.0,0.0,1,0.0015504938468895299,0.0015504938468895299,optimal,10.0,9.829497476642848e-14,-0.0061640146300984845,-0.00616401463019678,6.068505604781463e-16,5.768183632656361e-16,2.294157274351379,0.5904900000000002,0.009315834815308203,1.0,5.0
2,0.8537671566009521,0.7885630172075534,0.7255843390034545,0.021115877181282387,0.02111534080625443,0.00015050505216969404,0.0,0.0,0.0,0.0,1,0.0010697727473277154,0.0010697727473277154,optimal,10.0,2.5802369957507613e-14,-0.0046006264899808936,-0.004600626490006696,3.5646573095048015e-16,2.1518755889980185e-16,1.880872211477051,0.38742048900000015,0.008405345655149438,1.0,9.0
3,1.290041446685791,0.7871505480779523,0.4880219750246319,0.017867023877914806,0.017810192916239066,0.0009849302563877825,0.0,0.0,0.0010283398904922247,6.427124315576405e-05,1,0.0018001289384648152,0.0018001289384648152,optimal,10.0,1.2566490700778222e-14,-0.004920287693672866,-0.004920287693685434,4.955059464729477e-16,3.4241725990568354e-16,2.643558600675955,0.1853020188851842,0.0065248610534099985,1.0,16.0
4,1.714017629623413,0.7832013576400174,2.218264126972843,0.01829844619552442,0.01828229616697528,0.0007686221656334375,0.0,0.0,0.0,0.0,1,0.00196704461687015,0.00196704461687015,optimal,10.0,3.355964456569367e-13,-0.0066525063762523234,-0.006652506376587919,9.226485968836848e-16,2.7039076863717323e-15,5.130090224186819,0.47829690000000014,0.009352674962127066,1.0,7.0
5,2.1453824043273926,0.7802221339471331,1.2798743119296785,0.01886046635383418,0.018818103379128773,0.0006846595630430682,0.0,0.0,0.001061799217963108,6.636245112269425e-05,1,0.002625397651211305,0.002625397651211305,optimal,10.0,1.101670674632589e-13,-0.005701280486168449,-0.005701280486278616,4.1730869049259005e-16,2.122326625997585e-14,3.3701732009917267,0.38742048900000015,0.007202327197972897,1.0,9.0
6,2.580108404159546,0.7793145167324627,0.39205159588078564,0.018073519469940413,0.01798620168855096,0.000926288261564209,0.0,0.0,0.0015134876628404292,9.459297892752683e-05,1,0.0038494158117944382,0.0038494158117944382,optimal,10.0,1.7844535444981985e-14,-0.004472268131685241,-0.004472268131703086,3.750294755376816e-16,5.441034269818336e-15,2.905621841855084,0.13508517176729928,0.005076930113838726,1.0,19.0
7,3.0082173347473145,0.7790784226515306,0.08651762388619484,0.018176327170016774,0.0180692041578807,0.0010244655136697985,0.0,0.0,0.0016832114851135227,0.00010520071781959517,1,0.004234651290547059,0.004234651290547059,unknown,13.0,4.188932408455929e-16,-0.00476530931684307,-0.004765309316843489,5.7698423575096145e-16,1.8001828421705577e-12,2.799816635587384,0.030903154382632643,0.005884168610890324,1.0,33.0
8,3.431816577911377,0.7788466388987232,0.10858823401484416,0.01842367476493764,0.018298792016888773,0.0010864269385178773,0.0,0.0,0.001845448204125577,0.00011534051275784857,1,0.004685493830342773,0.004685493830342773,optimal,10.0,1.961073614000337e-14,-0.00606296508202079,-0.006062965082040407,9.26866267108876e-16,2.0019941461705422e-15,4.820620355730602,0.0225283995449392,0.008506233202823118,1.0,36.0
9,3.8567450046539307,0.7778522709539947,0.43567727402784046,0.01816904768913291,0.017968946573378577,0.0009606348507511754,0.0,0.0,0.0025116595423294585,0.00015697872139559116,1,0.004528274372825829,0.004528274372825829,optimal,11.0,4.567723167142717e-14,-0.00656212775457631,-0.006562127754621984,1.0196945607378046e-15,5.579610536354114e-13,4.930773256075509,0.08862938119652508,0.009649227623783055,1.0,23.0
