iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7968133042299976,7.529898907871221e-16,2.9706561933225855,1.6856747149176856,2.446078284604361,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,,,
1,0.43314385414123535,0.7923680428030309,0.4465761393750635,0.014713320226528487,0.013666911714100883,0.0054495244092805355,0.0,0.0,0.0,0.0,1,0.0039332482211577235,0.0039332482211577235,optimal,10.0,1.4067427876367425e-13,-0.4098860499367142,-0.4098860499368549,8.053490852580999e-15,6.009536928232191e-15,87.0285865746942,0.00515377520732012,0.8026848969205911,1.0,50.0
2,0.8674449920654297,0.778045525630886,0.9706877994448377,0.030255449074585727,0.029371406390096794,0.0072603502238274545,0.0,0.0,0.0,0.0,1,0.004688478517189922,0.004688478517189922,optimal,10.0,3.448474801645024e-13,-0.5463215528723647,-0.5463215528727096,1.4723787866778198e-14,1.0167186443039493e-16,102.08595571593501,0.009697737297875247,1.0697064131346963,1.0,44.0
3,1.3119003772735596,0.7694028975799045,0.3484597888263852,0.033437764535706606,0.03320037620181126,0.0026690228892807416,0.0,0.0,0.0029488021330802416,0.0001843001333175151,1,0.005473181551567721,0.005473181551567721,optimal,9.0,1.7633085490600107e-13,-2.3915272534392833,-2.391527253439459,3.3078299257876964e-14,4.2501518944895337e-16,216.37409700835371,0.0016173092699229901,4.772541767585137,1.0,61.0
4,1.7453444004058838,0.7653937685970675,0.1451477392340086,0.04302049714693234,0.04201365201191227,0.007081362247463466,0.0,0.0,0.005955713904424287,0.0003722321190265179,1,0.005046393034334176,0.005046393034334176,optimal,9.0,6.869282175451829e-13,-3.412331825411276,-3.4123318254119632,3.814784020504099e-14,5.867014173651666e-16,257.64856562670064,0.0005639208733960181,6.798639030345374,1.0,71.0
5,2.183762550354004,0.7589192834581173,0.21416873134604278,0.04563182067666114,0.044260067054936694,0.002678484103031741,0.0,0.0,0.010776606398550215,0.0006735378999093884,1,0.005727421546484895,0.005727421546484895,optimal,10.0,6.148785200637893e-14,-3.943037142344808,-3.943037142344869,4.1037947227642435e-14,1.8864043953550013e-15,277.3501068579749,0.0007735540101454295,7.87861234969468,1.0,68.0
6,2.6204793453216553,0.7260056023256802,1.133659367092949,0.08542358496451413,0.0849406310165729,0.009045832436353108,0.0,0.0,0.000671555082924491,4.1972192682780685e-05,1,0.005907208864961884,0.005907208864961884,optimal,10.0,1.0665787542200265e-13,-2.7007562580351756,-2.7007562580352826,6.050318001026963e-14,7.408703227597421e-16,227.07638069852635,0.00515377520732012,5.367267529280687,1.0,50.0
7,3.054593324661255,0.7251215486702175,0.03004253635501919,0.060764932877311995,0.060378829067194335,0.006714382628526255,0.0,0.0,0.00130043607167174,8.127725447948375e-05,1,0.005097554832738853,0.005097554832738853,optimal,9.0,1.4609086609933236e-12,-4.214869349208066,-4.214869349209527,6.673350163357398e-14,3.0353830411436735e-15,287.5166554167918,0.00010449567633177853,8.410989749911076,1.0,87.0
8,3.490598678588867,0.7239949918956133,0.051310560480400835,0.08996782315643244,0.08908373930442494,0.012399352416009137,0.0,0.0,0.002133695084112097,0.00013335594275700607,1,0.008503636042632923,0.008503636042632923,optimal,10.0,3.039038014044016e-14,-2.0804734812805674,-2.0804734812805976,4.1548804708292444e-14,1.1057658842062734e-15,190.25877030618918,0.00026972160559060804,4.122661528758548,1.0,78.0
9,3.9259495735168457,0.7231210772971111,0.03417016487447005,0.06680090425814984,0.06660884633246479,0.004274766710649832,0.0,0.0,0.0027108614007568255,0.0001694288375473016,1,0.0050958587350171634,0.0050958587350171634,optimal,9.0,2.6361995023365608e-12,-3.0378775241237284,-3.037877524126365,1.2924124636063535e-13,1.3556663189909071e-15,238.39935024626695,0.00014334111979667834,6.060276134413189,1.0,84.0
10,4.357798099517822,0.7208866676807889,0.10108645084560691,0.077764129621059,0.07731360584924911,0.007149555043455247,0.0,0.0,0.004330134985011669,0.0002706334365632293,1,0.0059756136958718075,0.0059756136958718075,optimal,10.0,3.945311569762645e-14,-2.4210154634625507,-2.4210154634625902,7.658747075617436e-14,1.1714928847741879e-15,221.38924176937627,0.00045677590745077476,4.818569457636024,1.0,73.0
11,4.797853946685791,0.7198456594914218,0.0420590282533061,0.05941898003361265,0.05894344481094588,0.005520393343492773,0.0,0.0,0.005080429055400404,0.00031752681596252524,1,0.0042268018917990275,0.0042268018917990275,optimal,10.0,2.966403559167022e-14,-2.9289031017661276,-2.9289031017661578,7.598119316221567e-14,3.2892322546714962e-15,237.69140876097268,0.00017696434542799794,5.840456203113226,1.0,82.0
12,5.2292258739471436,0.7192533936740576,0.034026446125979715,0.08135150347073392,0.08068772531372906,0.008787808953962745,0.0,0.0,0.005507496203692841,0.00034421851273080256,1,0.005229420344757933,0.005229420344757933,optimal,10.0,2.963202272585359e-13,-1.3547670099100002,-1.3547670099102973,3.890521641833779e-14,1.3205856624094076e-15,155.75287768233366,0.00021847450052839252,2.6809569428728794,1.0,80.0
13,5.673896074295044,0.7183626681979552,0.04090311776391569,0.06220855711848102,0.06184524374971673,0.0027231724074821702,0.0,0.0,0.006136345519979103,0.0003835215949986939,1,0.003148201924263898,0.003148201924263898,optimal,10.0,2.4894767635799317e-14,-2.2533346724686374,-2.2533346724686623,7.115474882926382e-14,2.2743804583463598e-15,208.04128655740467,0.00019662705047555326,4.497534490648975,1.0,81.0
14,6.10792088508606,0.717605429736635,0.04765047564131122,0.0720019954768427,0.07134473115888579,0.007024718630408829,0.0,0.0,0.006698508541248316,0.00041865678382801974,1,0.006126753938823761,0.006126753938823761,optimal,9.0,1.069529598207945e-12,-1.1332653192192326,-1.1332653192203022,4.1617949092863886e-14,1.5863193481970085e-15,143.1117148668283,0.00033298963653161486,2.2436935816411077,1.0,76.0
