iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
0,0.0,0.7994122007520834,1.318316798730503e-15,4.0726794600909075,3.2525739953897994,2.4510161952056535,0.0,0.0,0.0,0.0,31.896220272154384,0.5,1.0,1.0,,,,,,,,,,,,
1,1.7843372821807861,0.8004823347195306,3.2355126680912556,3.490843229057912,2.6500589473904363,2.2722618742599545,0.0,0.0,0.0,0.0,22.1128789333256,0.5,0.8693738847456418,1.1684912088383486,13.824027709175441,14.070689859217346,0.25,True,2.0,-47.79244054430877,0.013983697633283242,4.111022027300016e-14,7.105427357601002e-14,14.070689859217346,0.032607153433473875,0.00014746461888623868
2,3.5883164405822754,0.8004411188068867,3.0279682259255334,2.6023100423077197,1.6931065398235485,1.9762100132644278,0.0,0.0,0.0013358801394577936,8.34925087161121e-05,10.328546399946488,0.5,0.6355182109392351,1.5680785427136994,6.346730204177726,6.7196367198858304,0.5,True,1.0,-32.132782643007545,0.0038870477238165738,2.181877824085761e-14,2.1316282072803006e-14,6.7196367198858304,0.06916694623721505,-0.00029308463606421496
3,5.383984088897705,0.7997754129096062,4.1289663055651875,2.30382538428629,1.3253622509684995,1.8843971431085043,0.0,0.0,0.008585571273461143,0.0005365982045913214,7.884120458146212,0.5,0.5531102869735923,1.9401642980907283,17.142564408128823,17.30208092414598,0.25,True,2.0,-14.194958456926479,-0.001147707668551998,1.1780753401143044e-13,7.105427357601002e-14,17.30208092414598,0.030531428063058853,2.5629024287089112e-05
4,7.185346603393555,0.7992302318190891,2.492459387171516,2.2914088764703546,1.2830280053744858,1.8984945970154654,0.0,0.0,0.010584974963963488,0.000661560935247718,7.800972690390202,0.5,0.5444333055281777,2.0053748569154397,79.89960514539726,79.9420202558804,0.03125,True,5.0,-10.87334508339627,-0.017209979823061355,4.432524234208561e-13,2.5224267119483557e-13,79.9420202558804,0.006795654873858198,3.10687932834277e-06
5,9.002166032791138,0.7992829520531735,0.1402931886164689,2.2912829914730515,1.2827039057256877,1.8985617531437124,0.0,0.0,0.010569141385874552,0.0006605713366171595,7.8003776773182505,0.5,0.5443668386870552,2.0055841868661353,574.6465032279535,574.6584775219633,0.000244140625,True,12.0,-10.859423394086994,0.22132267249448268,3.2812870267514588e-12,1.291411422243982e-12,574.6584775219633,0.0008766944586640307,-7.457496523757088e-07
6,10.821046113967896,0.7993581704018013,0.20077544888998558,2.2910358554379404,1.2820555112519993,1.898701554449557,0.0,0.0,0.010552919096871085,0.0006595574435544428,7.799218424108148,0.5,0.5442339193805219,2.006162066968442,411.1963217118504,411.20813668304504,0.00048828125,True,11.0,-10.859391273642288,0.15924752153688582,3.274618870331228e-12,2.1032064978498966e-12,411.20813668304504,0.0012276442841034551,-1.0090022145914882e-06
7,12.698433876037598,0.7994222876273998,0.17029237590736443,2.2906326947533096,1.2814143173626475,1.8986480290338168,0.0,0.0,0.01054283533174469,0.0006589272082340431,7.7967899368045845,0.5,0.5441010363790537,2.0068006393385835,348.7636365169152,348.77590583235866,0.00048828125,True,11.0,-10.859387904147745,0.13475873845456088,2.1478137368086794e-12,1.1297629498585593e-12,348.77590583235866,0.0014511640580310782,-1.146598817316771e-06
8,14.583399772644043,0.7994879988826324,0.1761857544057242,2.290239129951049,1.2807731103249633,1.8986059618283477,0.0,0.0,0.010531568606440148,0.0006582230379025092,7.79443055356323,0.5,0.5439681852895079,2.007427230421689,360.8335591830326,360.84563259374386,0.00048828125,True,11.0,-10.856844868989004,0.13792742330855556,1.570894724213701e-12,7.638334409421077e-13,360.84563259374386,0.001405586529049726,-1.0820151887191166e-06
9,16.483170747756958,0.7995729584886997,0.2339889547046218,2.290088826188378,1.280121865537372,1.8988639788392354,0.0,0.0,0.010508618977346828,0.0006567886860841767,7.794007100573008,0.5,0.543835359036921,2.0079373146161226,479.22062261187557,479.23206587996765,0.00048828125,True,11.0,-10.854438921411894,0.17916291641961113,3.520878250079742e-12,4.938272013532696e-13,479.23206587996765,0.0010605002218926304,-8.018796244352873e-07
10,18.38812232017517,0.7995751385702883,0.006145174378305794,2.2900884515908433,1.280121239658317,1.8988639555053157,0.0,0.0,0.010507443461944078,0.0006567152163715049,7.7940049432926,0.5,0.5438352293617806,2.0079258842565957,12887.364918503883,12887.54073366287,4.76837158203125e-07,True,21.0,-10.855903837324949,4.575071775744913,8.961944197518755e-11,5.8193450058752205e-12,12887.54073366287,3.952717700478827e-05,-2.969700661475657e-08
11,20.304132223129272,0.7995757520427039,0.001731162976944893,2.2900884314708,1.2801212002845996,1.8988639596434718,0.0,0.0,0.010507107376454782,0.0006566942110284239,7.794004858618228,0.5,0.5438352212568287,2.007922454181354,58088.190455189084,58088.9886646329,2.9802322387695312e-08,True,25.0,-10.855901779465512,20.588646170903004,4.2249194409042226e-10,2.212630079156952e-10,58088.9886646329,8.770052913237313e-06,-6.588314997229796e-09
12,22.251224756240845,0.7995757553313668,9.2827490644261e-06,2.29008843144941,1.2801212002834004,1.8988639596284964,0.0,0.0,0.010507105566893897,0.0006566940979308686,7.7940048586152155,0.5,0.5438352212565813,2.0079224354695464,10206490.534345793,10206631.115434047,9.094947017729282e-13,True,40.0,-10.855901751165035,3615.926880883506,5.4042608905871095e-08,1.5040342304928345e-09,10206631.115434047,4.9913971199640034e-08,-3.749589302602337e-11
13,24.197171449661255,0.7995757555375917,5.82102347250716e-07,2.2900884314481003,1.2801212002833953,1.8988639596275483,0.0,0.0,0.010507105453417508,0.0006566940908385942,7.794004858615201,0.5,0.5438352212565803,2.0079224342960593,163847244.39832735,163849501.20960632,3.552713678800501e-15,True,48.0,-10.855901751163314,58047.20168225418,1.1177252983951065e-06,4.332086103175925e-07,163849501.20960632,3.1092772390424888e-09,-2.3355119205324725e-12
14,26.111294984817505,0.799575756454363,2.5877303248702566e-06,2.2900884314423573,1.2801212002833913,1.8988639596234156,0.0,0.0,0.010507104948958507,0.0006566940593099067,7.7940048586157245,0.5,0.5438352212565802,2.0079224290793047,2913525332.153918,2913565462.7170415,8.881784197001252e-16,False,51.0,-10.855901751163303,1032192.9270155188,1.4628492774216524e-05,5.086845606072643e-06,2913565462.7170415,1.748556249140451e-10,-1.3101740056836203e-13
15,27.992761850357056,0.7995757556573282,2.249756107009862e-06,2.2900884314473697,1.2801212002833158,1.8988639596270853,0.0,0.0,0.010507105387534533,0.0006566940867209083,7.794004858615513,0.5,0.5438352212565647,2.0079224336148336,39578127.99699393,39578673.1435541,5.684341886080802e-14,True,44.0,-10.855901751164351,-14021.58259547501,2.6668999011040765e-07,1.5016707877180124e-08,39578673.1435541,1.2871921219279862e-08,9.670968440185204e-12
