iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7967094303311726,1.4686870114880516e-15,4.123170574845384,3.332379496418384,2.428123242572578,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,,,
1,0.4454820156097412,0.7923037393169701,0.5000407560898902,0.018839222275047644,0.01761928911939837,0.006669103902002241,0.0,0.0,0.0,0.0,1,0.004985888135266523,0.004985888135266523,unknown,9.0,4.502495577505804e-12,-4360.113392117806,-4360.113392117811,1.8921287784086765e-10,7.408956039266817e-11,933818.8836305003,5.385472259508683e-07,8720.200620822106,1.0,137.0
2,0.891895055770874,0.7629947878906571,1.4412955744966935,0.04496649934753768,0.04494181697233963,0.0014896814413936223,0.0,0.0,0.0,0.0,1,0.002851969342810534,0.002851969342810534,unknown,10.0,3.977749037582918e-12,-5985.46838750638,-5985.468387506384,1.4586009772579414e-10,1.2768246421358266e-12,1094102.1360759242,1.3900845237714525e-06,11970.93118768202,1.0,128.0
3,1.3502085208892822,0.7378690990823333,0.6287918772956094,0.051634305730149446,0.05143339848529868,0.00455049980628714,0.0,0.0,0.0,0.0,1,0.00377517620369936,0.00377517620369936,unknown,9.0,7.405188512282246e-13,-57535.08277422337,-57535.08277422337,5.782877036536832e-10,8.642103362575108e-12,3392198.428896443,1.87779806664731e-07,115070.15192318779,1.0,147.0
4,1.8079588413238525,0.7085567652143122,1.0577375526551405,0.07059103065939855,0.07017672450396391,0.007636815268873398,0.0,0.0,0.0,0.0,1,0.004110005111970369,0.004110005111970369,unknown,9.0,1.4997066239649284e-12,-31843.037968533274,-31843.03796853327,5.69244668489066e-10,1.6240362202551758e-11,2523604.717578442,4.3622325302020334e-07,63686.05390366058,1.0,139.0
5,2.2578723430633545,0.7061931078973032,0.27640998175007037,0.05054907944452235,0.04779459583319353,0.01640201664336663,0.0,0.0,0.0013637785234545952,8.52361577159122e-05,1,0.009779266510438962,0.009779266510438962,unknown,10.0,9.94062453342278e-11,-3071.976357195363,-3071.9763571954645,3.4719923736090045e-10,1.2657621441479317e-11,783787.436315641,3.5334083494636473e-07,6143.904712835935,1.0,141.0
6,2.709284543991089,0.7013958333052036,0.42631290738968125,0.04657053068808331,0.04597171336493074,0.006727401714802904,0.0,0.0,0.0031871562606851436,0.00019919726629282148,1,0.0037225192839095895,0.0037225192839095895,unknown,9.0,3.257302331299101e-11,-4824.694679151369,-4824.6946791514,4.16808267071606e-10,1.0710498701142506e-11,982307.871182655,4.3622325302020334e-07,9649.367375941249,1.0,139.0
7,3.158510208129883,0.6994831694750953,0.1835334668434859,0.04444477577229787,0.042608259060691926,0.01175873663348569,0.0,0.0,0.004648275599738235,0.0002905172249836397,1,0.00715448228588518,0.00715448228588518,unknown,10.0,2.2785402711057696e-12,-4789.5487043906605,-4789.548704390665,3.0576207019839204e-10,2.1588189453932578e-11,978724.1139495746,1.87779806664731e-07,9579.063141086177,1.0,147.0
8,3.6106088161468506,0.6972300449396356,0.19072682991144813,0.04590553335755489,0.044129642342162594,0.010981668617674098,0.0,0.0,0.006268621376824983,0.00039178883605156143,1,0.006611414679947532,0.006611414679947532,unknown,10.0,2.0162015300896398e-12,-6384.375743676487,-6384.375743676488,4.5082758854674846e-10,1.4135705422616974e-11,1129984.1364696657,1.6900182599825792e-07,12768.718493446722,1.0,148.0
9,4.056195259094238,0.6874585172176224,0.891977592803738,0.03964628826911723,0.03664969452806746,0.009924724198419286,0.0,0.0,0.011407362276293097,0.0007129601422683185,1,0.007412673682511436,0.007412673682511436,unknown,9.0,6.857619180351397e-11,-6211.513763249407,-6211.513763249474,5.322070649011135e-10,1.4411498507216903e-11,1114582.9701945018,8.20831010441805e-07,12422.99848259184,1.0,133.0
