iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.8077336256280888,1.3597399555105185e-15,3.512922416129439,2.3856554284029183,2.5786182498920587,0.0,0.0,0.0,0.0,1.0,1.0
1,0.47809624671936035,0.7969027613863067,0.5627199429802222,0.7459114496715092,0.07053394775014246,0.7400419366125602,0.0,0.0,0.05824946512874757,0.004816164623590469,1.0,1.0582494651287475
2,0.786956787109375,0.7906744638717728,0.9034902785747526,0.5615077015400499,0.027742085039804503,0.33527894438294914,0.0,0.0,0.3393586465178203,0.03963894037621835,3.3333333333333335,0.6279470782703147
3,0.9805467128753662,0.7855547365477903,0.9004986285313021,0.03524999743835597,0.035217791154456564,0.0015064878377149785,0.0,0.0,0.0,0.0,3.3333333333333335,0.026552685292554237
4,1.1697843074798584,0.7762582580900719,0.4629698961972257,0.021581850824876916,0.021545238390166706,2.955891575716408e-05,0.0,0.0,0.000938513488684567,0.00011084764086484802,3.3333333333333335,0.004414885290284956
5,1.3634710311889648,0.7694240930279084,0.331178968374186,0.030193311159734573,0.030193201023915914,6.574189356056412e-07,0.0,0.0,8.154928421350016e-05,5.09683026334376e-06,3.3333333333333335,0.00468671623766329
6,1.551576852798462,0.7630589295722789,0.26409203150394134,0.034569194848767255,0.03455648533077321,3.2600037501170193e-06,0.0,0.0,0.000859354517678601,8.372323427743161e-05,11.111111111111112,0.0058950146792487584
7,1.7390673160552979,0.7608493355464104,0.08325551398837754,0.04583755945676234,0.045835517401845174,2.2068593674299803e-06,0.0,0.0,0.0004325390455779399,2.767886835566835e-05,11.111111111111112,0.006009712991612689
8,1.9221553802490234,0.7585284190770627,0.08444089701610144,0.16579978922578328,0.16578741292534516,3.1824029256237467e-05,0.0,0.0,0.0014626956745829034,0.00019380652235660711,37.037037037037045,0.01625217416203226
9,2.101980686187744,0.7575309092506455,0.035414133521235965,0.11869618268430993,0.11869427486411406,1.679818067695754e-05,0.0,0.0,0.0006726642937739946,4.277805964929965e-05,37.037037037037045,0.024913492361999807
10,2.2860279083251953,0.7567944350968461,0.026092743831588758,0.03700081931679166,0.037000356142894715,2.9150733409495524e-06,0.0,0.0,0.00018511324956171915,1.1569578097607447e-05,123.45679012345683,0.007292515191722924
11,2.466557025909424,0.756538471849647,0.008798615124156133,0.03359829922528322,0.03359829910120691,1.0486422647223789e-07,0.0,0.0,2.885569205357541e-06,1.8034807533484631e-07,123.45679012345683,0.005100705225620697
12,2.6536824703216553,0.7563137228394582,0.0077759994883277095,0.06739489684256006,0.0673948225409822,1.24016024829867e-06,0.0,0.0,7.75245388457968e-05,8.799858120488169e-06,411.5226337448561,0.01467163594732401
13,2.834425926208496,0.7562423706329414,0.0024927254041992204,0.06125194821171486,0.06125194530336657,1.3501340388629861e-07,0.0,0.0,1.7686871136346483e-05,1.5858869387465335e-06,411.5226337448561,0.00727854779273518
14,3.017102003097534,0.7561746922898337,0.0023435701000179675,0.03386382322484578,0.03386382299128123,6.509767482344833e-09,0.0,0.0,3.977277332811724e-06,2.4857983330073274e-07,411.5226337448561,0.001636739643132397
15,3.1954312324523926,0.7561038760105404,0.0024447351630441758,0.049189659952746885,0.04918965384582471,2.7466364426511965e-07,0.0,0.0,2.3910325245513064e-05,1.831059336477453e-06,1371.7421124828536,0.011476379661862057
16,3.3750836849212646,0.7560833995460949,0.0007117211431591236,0.04510260924977,0.04510260901377436,3.6603757228720945e-08,0.0,0.0,4.4165485488245615e-06,3.8746075315537754e-07,1371.7421124828536,0.008275083388562988
17,3.5534653663635254,0.7560616852082764,0.0007520981558206339,0.04071298646149176,0.04071298596971776,5.492486180564154e-08,0.0,0.0,6.327729411559346e-06,3.9548308822245914e-07,1371.7421124828536,0.008680012910232302
18,3.7340025901794434,0.7560391318380079,0.0007791199968273911,0.11386486590302704,0.11386486554682365,7.216888126068827e-08,0.0,0.0,6.141654036562194e-06,9.747402575505104e-07,4572.4737082761785,0.0097280054909228
19,3.916796922683716,0.756032642154065,0.00022431785810619865,0.18510810231423136,0.18510810214940485,2.346197586969794e-07,0.0,0.0,6.728763069285826e-06,6.681151450346756e-07,15241.579027587262,0.03076709222352916
20,4.091196298599243,0.7560304331538018,7.751025238659564e-05,0.1364889444778391,0.13648894447672247,1.1355405886603904e-08,0.0,0.0,4.211266698694871e-07,5.258779060823837e-08,15241.579027587262,0.020189280257658097
21,4.2817370891571045,0.7560285840657693,6.376481143917629e-05,0.11447143637977214,0.11447143637663393,1.2610686976738037e-08,0.0,0.0,7.763142753081098e-07,6.977388151974129e-08,15241.579027587262,0.025372450948219764
22,4.460691213607788,0.7560263253646081,7.85996534487221e-05,0.03787428301405514,0.03787428301367271,8.232415799268556e-10,0.0,0.0,1.702005910098059e-07,1.0637536938112868e-08,50805.263425290876,0.004836890254273122
23,4.639872312545776,0.7560257419571685,1.9779675002283243e-05,0.07625967218249124,0.07625967218208803,3.0713298821919937e-09,0.0,0.0,1.961246779980108e-07,2.5778431732986773e-08,50805.263425290876,0.014801056184162411
24,4.818331241607666,0.7560251058017318,2.1976276833136985e-05,0.2127900735203703,0.2127900735197277,1.0953405233905047e-08,0.0,0.0,3.654115070528263e-07,5.534111752886206e-08,169350.87808430294,0.02565977636921856
25,4.991942644119263,0.7560248270134161,9.722783693745062e-06,0.05836130555375738,0.05836130555374137,5.485154518055648e-10,0.0,0.0,4.065968339794779e-08,3.4587282933540298e-09,169350.87808430294,0.006885753086072212
26,5.177527666091919,0.756024658745152,5.781381238730462e-06,0.10591568310018167,0.10591568310008122,3.330328233101638e-09,0.0,0.0,1.4001734660595844e-07,1.2315755082425994e-08,564502.9269476765,0.023712060594753254
27,5.357833623886108,0.7560245884154112,2.4561762143265174e-06,0.03624801976127539,0.036248019761275264,5.065411514487171e-12,0.0,0.0,2.995534098548802e-09,1.8722088115930013e-10,564502.9269476765,0.0016909877664023684
28,5.542722225189209,0.7560245389068164,1.701902677468896e-06,0.07954586065277286,0.07954586065277153,8.409014050649074e-11,0.0,0.0,1.0365022173886018e-08,1.2827021528272198e-09,564502.9269476765,0.005851085355036226
29,5.723259449005127,0.7560244845732814,1.8814087148211217e-06,0.04267901986426417,0.04267901986426142,1.327081132178748e-10,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1881676.4231589215,0.008655294237701798
30,5.726140737533569,0.7560244845732814,1.8004791813271805e-15,0.11521647820486315,0.11521647820486212,5.750684906107906e-10,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,6272254.743863072,0.03750627503004112
31,5.728849649429321,0.7560244845732814,1.8004791813271805e-15,0.4003167654105199,0.40031676541051964,2.0496030819205104e-09,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,20907515.81287691,0.13367621100450555
32,5.73157262802124,0.7560244845732814,1.8004791813271805e-15,1.3634812511176742,1.3634812511176742,6.964718386286244e-09,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,69691719.37625638,0.45424266425272036
33,5.734267711639404,0.7560244845732814,1.8004791813271805e-15,4.577559119009335,4.577559119009335,2.334843606750536e-08,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,232305731.25418794,1.5227975084134366
34,5.736969470977783,0.7560244845732814,1.8004791813271805e-15,15.29217732164328,15.29217732164328,7.796082833823574e-08,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,774352437.5139599,5.0846469889491575
35,5.739663124084473,0.7560244845732814,1.8004791813271805e-15,51.007875823048785,51.007875823048785,2.6000213590733705e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2581174791.7131996,16.957478590734894
36,5.7423412799835205,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,8603915972.377333,20.0
37,5.745039939880371,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,28679719907.924442,20.0
38,5.74772834777832,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,95599066359.74814,20.0
39,5.7504260540008545,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,318663554532.49384,20.0
40,5.7531349658966064,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1062211848441.6461,20.0
41,5.7558300495147705,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,3540706161472.154,20.0
42,5.7585179805755615,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,11802353871573.846,20.0
43,5.7613019943237305,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,39341179571912.82,20.0
44,5.764013290405273,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,131137265239709.4,20.0
45,5.766708612442017,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,437124217465698.06,20.0
46,5.769397258758545,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1457080724885660.2,20.0
47,5.772094011306763,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,4856935749618868.0,20.0
48,5.774781227111816,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.6189785832062894e+16,20.0
49,5.777480840682983,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,5.3965952773542984e+16,20.0
50,5.780176639556885,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.798865092451433e+17,20.0
51,5.782855987548828,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,5.996216974838111e+17,20.0
52,5.7855446338653564,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.9987389916127037e+18,20.0
53,5.788239240646362,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,6.662463305375679e+18,20.0
54,5.790930271148682,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.220821101791893e+19,20.0
55,5.793619394302368,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,7.402737005972978e+19,20.0
56,5.7963128089904785,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.4675790019909927e+20,20.0
57,5.798994779586792,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,8.225263339969975e+20,20.0
58,5.801690101623535,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,2.7417544466566585e+21,20.0
59,5.804379224777222,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,9.139181488855528e+21,20.0
60,5.807065010070801,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,3.0463938296185094e+22,20.0
61,5.809752941131592,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.0154646098728364e+23,20.0
62,5.812452554702759,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,3.384882032909455e+23,20.0
63,5.815136671066284,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.1282940109698184e+24,20.0
64,5.817829608917236,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,3.7609800365660616e+24,20.0
65,5.820525407791138,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.2536600121886873e+25,20.0
66,5.823214292526245,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,4.178866707295624e+25,20.0
67,5.825910806655884,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.3929555690985415e+26,20.0
68,5.828611850738525,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,4.643185230328472e+26,20.0
69,5.831301689147949,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.5477284101094908e+27,20.0
70,5.8340160846710205,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,5.15909470036497e+27,20.0
71,5.836714267730713,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.7196982334549902e+28,20.0
72,5.839418172836304,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,5.732327444849967e+28,20.0
73,5.842116594314575,0.7560244845732814,1.8004791813271805e-15,60.1603551220574,60.1603551220574,3.0665188166523194e-07,0.0,0.0,1.5332594083261597e-08,9.582871302038498e-10,1.9107758149499892e+29,20.0
