iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
0,0.0,0.7926849022663821,1.7694043397697121e-15,3.9503484680392105,3.1275239831368387,2.413264750052017,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,,,
1,0.43175387382507324,0.7890444737509814,0.3804810556940263,0.01900509198762664,0.01836489107199081,0.004812956789766298,0.0,0.0,0.0008716331291919732,5.4477070574498326e-05,1,0.005040626994642922,0.005040626994642922,optimal,10.0,3.956121627390544e-13,-0.3682159845538881,-0.36821598455428367,1.0609069088507203e-14,1.001260516646685e-14,82.3318009609699,0.004638397686588107,0.7204561145501398,1.0,51.0
2,0.8629224300384521,0.7527750471411031,1.4301609521435825,0.05478038193861179,0.04902923718448314,0.0068755558832842905,0.0,0.0,0.023446766893192653,0.0014654229308245408,1,0.004556680409965954,0.004556680409965954,optimal,11.0,1.4492009297573197e-13,-1.030353796440071,-1.030353796440216,1.0846676144425732e-14,2.6807037277142034e-13,141.602751536414,0.01077526366430583,2.0414093433047387,1.0,43.0
3,1.3087375164031982,0.7182956207083809,0.8344378120274425,0.07413916893496765,0.05576764399965247,0.010091918519470923,0.0,0.0,0.04779894803959661,0.0029874342524747882,1,0.007546376718049831,0.007546376718049831,optimal,11.0,3.664869768724959e-12,-7.256999164574716,-7.256999164578381,6.664419494727939e-14,3.8650970256844793e-14,383.97960034911097,0.0022185312344622636,14.48448813870754,1.0,58.0
4,1.7610177993774414,0.7015947243604435,0.665103729009435,0.07607292050889343,0.06280781716532917,0.006215341457939689,0.0,0.0,0.04246924614636122,0.002654327884147576,1,0.004303182730086158,0.004303182730086158,optimal,10.0,2.5136879298393814e-13,-1.67593515892008,-1.6759351589203313,9.153480180178276e-14,3.105999460541863e-15,181.42323593766687,0.003757102126136367,3.332230847764488,1.0,53.0
5,2.202759265899658,0.700409121549259,0.046468346183812057,0.06996916718953125,0.05370973983202519,0.011696260581690212,0.0,0.0,0.043291404375209896,0.0027057127734506185,1,0.007764411763074587,0.007764411763074587,optimal,10.0,8.122183269405415e-13,-2.979336692762539,-2.979336692763351,8.442780479266512e-14,2.645909277290629e-14,236.36615920409696,0.00019662705047555326,5.925328621840716,1.0,81.0
6,2.64882493019104,0.6993983884151787,0.037582294616559896,0.07826108030080287,0.06355689906187834,0.012042713822087004,0.0,0.0,0.04404872660232345,0.0027530454126452157,1,0.009257060497970515,0.009257060497970515,optimal,11.0,8.039840503676483e-13,-3.501973457230539,-3.5019734572313426,9.211207592050336e-14,2.891027247958959e-14,262.2109426362769,0.00014334111979667834,6.973149254331402,1.0,84.0
7,3.0836973190307617,0.6975725513987404,0.07600282525501262,0.07375993368192907,0.0567664570839662,0.012745493332361973,0.0,0.0,0.045339271791808855,0.0028337044869880534,1,0.008657274761628968,0.008657274761628968,optimal,11.0,1.0026027459591021e-12,-2.701062592396094,-2.7010625923970957,1.1274037661005188e-13,4.131746989766644e-14,228.33068243218145,0.00033298963653161486,5.366377250803049,1.0,76.0
8,3.5217676162719727,0.6967889569137994,0.03647658955469991,0.08362769549909835,0.0683660228010885,0.014646158293114877,0.0,0.0,0.04588211446853757,0.0028676321542835982,1,0.011318635644181053,0.011318635644181053,optimal,11.0,5.464756395249036e-14,-2.209388709335974,-2.209388709336028,5.4838189303488643e-14,2.543921491776063e-15,206.13416215284502,0.00017696434542799794,4.3815919061306206,1.0,82.0
9,3.9606611728668213,0.6960481322462987,0.04115019594730095,0.07682435425204001,0.059719879719426265,0.013531572326814355,0.0,0.0,0.046394115175358075,0.0028996321984598797,1,0.01002059513706628,0.01002059513706628,optimal,11.0,1.9172898865530187e-14,-1.519895739604611,-1.5198957396046302,4.915848759776423e-14,1.4505895208431206e-15,169.5335901516303,0.00024274944503154723,3.0045236182680064,1.0,79.0
10,4.396973133087158,0.6954297832787472,0.04330769994023077,0.08410041791294132,0.06840969865756197,0.014143091058768514,0.0,0.0,0.046829119124924046,0.002926819945307753,1,0.010913267764344115,0.010913267764344115,optimal,11.0,7.63686080424976e-14,-0.9305341307150992,-0.9305341307151753,3.9439327614525386e-14,3.2666241963051178e-15,130.06240160276616,0.00033298963653161486,1.823581614379589,1.0,76.0
11,4.8308351039886475,0.6949553275023995,0.030881746867999594,0.07864472004868153,0.06142786012421918,0.013660458701448943,0.0,0.0,0.04716992537794462,0.002948120336121539,1,0.010406000255899843,0.010406000255899843,optimal,11.0,5.6499772041249905e-14,-1.0873517624437612,-1.0873517624438174,4.255123996936383e-14,3.0376979270033557e-15,141.35749927396483,0.00021847450052839252,2.140869778016092,1.0,80.0
12,5.274547338485718,0.6944422897236465,0.04518457849648495,0.08493525632931517,0.06904865398529089,0.013597902683389099,0.0,0.0,0.04755395034231252,0.0029721218963945327,1,0.010463069758360009,0.010463069758360009,optimal,11.0,7.307167209975022e-14,-0.5655688263547506,-0.5655688263548236,4.0342174726273907e-14,3.619746217022628e-15,98.92465460065547,0.00045677590745077476,1.0946178407722906,1.0,73.0
13,5.721499443054199,0.6939603054186398,0.03437563901135187,0.07903506972507843,0.06134140804145956,0.013708447424587827,0.0,0.0,0.047915053742498104,0.0029946908589061315,1,0.010391325044330161,0.010391325044330161,optimal,11.0,4.677688371867016e-14,-0.8952258465708549,-0.8952258465709015,5.873406861950251e-14,1.945438880436708e-15,127.45381068478504,0.00026972160559060804,1.7561165821811646,1.0,78.0
14,6.166903257369995,0.6934252153713332,0.04885818107915198,0.08439691514057884,0.06797483527844658,0.01302096615036929,0.0,0.0,0.04829819349235598,0.0030186370932722487,1,0.009971989598393925,0.009971989598393925,optimal,11.0,1.0533958832563103e-13,-0.5311168203152706,-0.5311168203153761,2.843774692637316e-14,5.554957260536546e-15,96.27142589709044,0.0005075287860564164,1.0269572955590642,1.0,72.0
15,6.611083984375,0.6928762554716195,0.04259523256733907,0.0790240430440817,0.06073430382358663,0.013620096410156005,0.0,0.0,0.04868918454724008,0.003043074034202505,1,0.010227047367832314,0.010227047367832314,optimal,11.0,4.640199116560817e-14,-0.7427739759778746,-0.7427739759779209,2.8056933857751102e-14,2.2008774945684616e-15,115.13178085465222,0.0003699884850351276,1.4508117145032156,1.0,75.0
16,7.062021017074585,0.6922909756278519,0.05423635657395293,0.08359601673928874,0.06654621404988917,0.012126766432247424,0.0,0.0,0.04912063666321409,0.0030700397914508806,1,0.009188474674643213,0.009188474674643213,optimal,11.0,3.2384279777251526e-14,-0.5224888581379603,-0.5224888581379925,2.1939768354177127e-14,1.4806314864864515e-15,96.18334376741429,0.0005639208733960181,1.0117326751382536,1.0,71.0
17,7.510617256164551,0.6913470712768299,0.07973524882210499,0.07863899763878654,0.05945445006699563,0.012890799320738526,0.0,0.0,0.049830589096825306,0.0031144118185515816,1,0.009588233590985465,0.009588233590985465,optimal,11.0,4.136384980587856e-13,-0.6056195306669799,-0.6056195306673936,2.639973929705159e-14,7.354824524806003e-15,103.09171912159555,0.0007735540101454295,1.1778525201403323,1.0,68.0
18,7.956810712814331,0.6910214069889519,0.031398048420172034,0.08178802488026526,0.06386626316213204,0.01020744906054357,0.0,0.0,0.05006185601030583,0.003128866000644114,1,0.00751398802865333,0.00751398802865333,optimal,11.0,7.772774408484643e-13,-0.4939973524108181,-0.4939973524115953,9.56999224554241e-15,2.9086614758786634e-14,94.29369888351877,0.00033298963653161486,0.9589552741485647,1.0,76.0
19,8.404732704162598,0.6895925935193425,0.13207631979566942,0.07762827481907905,0.05723799659715903,0.011580019080489192,0.0,0.0,0.05114551744801865,0.0031965948405011657,1,0.008580542889238055,0.008580542889238055,optimal,11.0,9.263509238520463e-13,-0.48009710345070966,-0.480097103451636,3.4383156977549007e-14,4.836167068063843e-14,90.77040245948552,0.0014555783429306911,0.930126955032314,1.0,62.0
20,8.849843263626099,0.689208437118638,0.04013894401723274,0.07957716903458344,0.06032837444167994,0.007078870738955136,0.0,0.0,0.05140916900558001,0.003213073062848751,1,0.004583232314242953,0.004583232314242953,optimal,10.0,6.714358249876527e-13,-0.4241165420964691,-0.42411654209714056,3.341499927067943e-14,2.4031882680990334e-14,87.87874849258424,0.00045677590745077476,0.8259504799834441,1.0,73.0
21,9.307176351547241,0.6888616793944357,0.03806573813817356,0.07594841016941596,0.05474056485834479,0.01019406034560485,0.0,0.0,0.05164990512983891,0.003228119070614932,1,0.007405324338444091,0.007405324338444091,optimal,10.0,9.492285757632538e-13,-0.34385553396468577,-0.3438555339656349,2.924850448006465e-14,3.785024698778624e-14,75.00457286791281,0.0005075287860564164,0.6604921852655087,1.0,72.0
22,9.751667976379395,0.6882631171418928,0.06485824855829209,0.0784334027065828,0.05835064608351721,0.005885158313118412,0.0,0.0,0.05208037704739321,0.0032550235654620757,1,0.005856923390416478,0.005856923390416478,optimal,10.0,5.567062259565828e-13,-0.38830252268756504,-0.38830252268812165,2.0382242338509215e-14,2.0745224758577764e-14,83.85650309823377,0.0007735540101454295,0.7572409029793261,1.0,68.0
23,10.197447061538696,0.6879584414403768,0.03857633153370905,0.07487514876571406,0.052914949046537804,0.008375438089435243,0.0,0.0,0.05230820305554529,0.0032692626909715805,1,0.005726550842289155,0.005726550842289155,optimal,10.0,6.029644884271743e-13,-0.24460623590159342,-0.24460623590219652,1.6484631870435256e-14,2.4705121591965452e-14,61.56914313253875,0.0006265787482177979,0.46574112170858883,1.0,70.0
24,10.643574476242065,0.6871267227530699,0.10210480336242249,0.07874780749324271,0.05794415559579566,0.006563247826738208,0.0,0.0,0.05292084461956226,0.003307552788722641,1,0.004888634095019567,0.004888634095019567,optimal,10.0,6.467115384570179e-13,-0.2842976943721793,-0.284297694372826,1.549826917460115e-14,2.6072098663874794e-14,70.1716812217874,0.0014555783429306911,0.5474692737064271,1.0,62.0
