iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.8021102149206352,1.3597399555105187e-15,4.805036670313164,4.124545267320359,2.465056539083729,0.0,0.0,0.0,0.0,1.0,1.0
1,0.5020096302032471,0.7975928388109712,0.22653691924330296,0.742676224491111,0.024623491195982745,0.7398984930801641,0.0,0.0,0.05695967671329222,0.0045821429269564465,1.0,1.0569596767132923
2,0.8231909275054932,0.7883819637348782,0.6703211997125883,0.5621332289406031,0.022236341307807807,0.3360906493084666,0.0,0.0,0.33846251592514737,0.039692877282013164,3.3333333333333335,0.6283407360930973
3,1.051398515701294,0.7862691957315152,0.4060465169351073,0.03491738066464513,0.023036329151360134,0.016114820073037495,0.0,0.0,0.02070643479366701,0.0013146101974777255,3.3333333333333335,0.564257927472676
4,1.2849993705749512,0.7855827870214757,0.13285951085959838,0.07471679675470441,0.05657413752847993,0.021939415976503045,0.0,0.0,0.04342014589514881,0.0030576274462845027,3.3333333333333335,0.39662522257211263
5,1.5088272094726562,0.7817437950499998,0.24554756701369787,0.02842141533825362,0.028360928084825057,1.2205836724752492e-05,0.0,0.0,0.0013793041627011005,0.0001635647232409044,11.111111111111112,0.005470285905353627
6,1.7366538047790527,0.7814342317315139,0.026543396554457224,0.01297342666268152,0.012970747499956106,1.4313095043291328e-06,0.0,0.0,0.00026321583053334763,1.7386492005425427e-05,11.111111111111112,0.004292082936660779
7,1.9638698101043701,0.7810791671697119,0.029763663625957212,0.02392474034348938,0.023923751110448973,1.4851949506372685e-06,0.0,0.0,0.00021588086123980332,1.517722347502224e-05,37.037037037037045,0.006685632624716911
8,2.193605899810791,0.7809854457672305,0.007654234448692153,0.024259755217202375,0.024258980135362273,1.0006467359170415e-06,0.0,0.0,0.0001367857655052429,1.950639637031404e-05,37.037037037037045,0.005066139463157146
9,2.4263663291931152,0.7808860594598815,0.008324027703949641,0.020834774967752094,0.020834771947859782,1.598140245935074e-07,0.0,0.0,1.1216595022817133e-05,7.010371889260708e-07,123.45679012345683,0.004532546770523829
10,2.658116102218628,0.7808530838723109,0.002617298922099741,0.02923119460728624,0.029231120893347097,3.716794378461189e-07,0.0,0.0,4.949272679799499e-05,7.029783126468597e-06,123.45679012345683,0.006110213184937655
11,2.882638931274414,0.7808213711999398,0.00265211207850738,0.018149349344542237,0.018149348952851408,4.90568687420892e-08,0.0,0.0,3.6520430966718864e-06,2.8681762494642965e-07,411.5226337448561,0.004469636391462336
12,3.1092822551727295,0.7808111193599944,0.0008196353937096608,0.03812329723149507,0.038123290757537925,1.6562385843114892e-07,0.0,0.0,1.945490608079581e-05,2.0395566735463555e-06,411.5226337448561,0.008006134189627907
13,3.3377342224121094,0.7808020930913941,0.0007469027465538634,0.032885081786879475,0.03288508173605564,2.0949015339695062e-08,0.0,0.0,1.800734294121753e-06,1.342703605591855e-07,411.5226337448561,0.006809390903265802
14,3.5644986629486084,0.7807930531043217,0.0007479472593568019,0.01624267047835271,0.01624267044106436,1.8620134665444426e-08,0.0,0.0,8.328270888896538e-07,9.700727148214544e-08,1371.7421124828536,0.00437914094021769
