iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.7971370959833279,1.110223024625157e-15,3.6442262376724655,2.708136695137998,2.4385201479150123,0.0,0,0.0,0.0,1.0,1.0
1,0.5192961692810059,0.7895506524101249,0.3623094449380436,0.7435325810986817,0.04650596139920334,0.7397780661496057,0.0,0,0.05541085591149569,0.004608727968091295,1.0,1.0554108559114956
2,0.8199930191040039,0.785013961334019,0.8288046233607217,0.5576643039578205,0.06928036463640891,0.33141332911358534,0.0,0,0.33292021653114917,0.03908478785466784,3.3333333333333335,0.6243472575008955
3,1.0207798480987549,0.7767166311769896,0.6943917613888695,0.06324471803216535,0.06298438623173198,0.003343928480168904,0.0,0,0.004513910343795224,0.0003534955377818179,3.3333333333333335,0.026610628784532166
4,1.2081191539764404,0.7683607307351914,0.3744060738043511,0.08546622539122709,0.08527109579255995,8.856531535315147e-05,0.0,0,0.004536469750138772,0.0005065107851015549,3.3333333333333335,0.015699070240666562
5,1.410526990890503,0.7622454816753459,0.24469622725866844,0.04848803004987764,0.048487236688709384,1.6663642012896977e-05,0.0,0,0.00027687313691737714,1.730457105733607e-05,3.3333333333333335,0.0062840577697294755
6,1.6137840747833252,0.7545547300590681,0.26392959270901317,0.08729426826586913,0.08725765032747378,1.8041908637229398e-05,0.0,0,0.0017716515375273967,0.00027011829171825347,3.3333333333333335,0.010600784211476366
7,1.840555191040039,0.7490446530294659,0.1677097447362616,0.08588155001600303,0.08584344527060239,1.8188638320120966e-05,0.0,0,0.0021347009924541638,0.00026367597559032174,11.111111111111112,0.007115669974847213
8,2.084972858428955,0.7482751105930616,0.02384784022849524,0.05877077175733394,0.05877076635698139,1.2016131848812845e-06,0.0,0,2.5156574324558534e-05,1.6150716194776593e-06,11.111111111111112,0.0047576552898349125
9,2.3406622409820557,0.7475607193289525,0.021619853564547178,0.0757733140554089,0.07577316323251981,7.952332102392956e-07,0.0,0,0.00011508913852198432,1.566866387258184e-05,11.111111111111112,0.006036423495634739
10,2.5895519256591797,0.7468411404070756,0.02157459828571116,0.05587559737654909,0.055871564744937485,4.85909719791954e-06,0.0,0,0.0006569914678660194,4.967104144236456e-05,37.037037037037045,0.007324089459497005
11,2.8335368633270264,0.7466222700692599,0.006558430218034998,0.03498932298844515,0.03498926159804365,4.0272747711714705e-07,0.0,0,6.305349109902991e-05,5.88818884480688e-06,37.037037037037045,0.0034100864371640806
