iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,stepsize,linesearch_status,linesearch_counter
0,0.0,0.7967094303311726,1.4686870114880516e-15,4.123170574845384,3.332379496418384,2.428123242572578,0.0,0.0,0.0,0.0,1,,1.0,,,,,,,,,,
1,0.4785892963409424,0.7967094303311719,1.520111125772695e-13,0.019221727702997123,0.017967440447583118,0.00682978035157217,0.0,0.0,0.0,0.0,1,0.006254113547442531,0.006254113547442531,unknown,8.0,1.0463400687369832e-10,-16817.171270824354,-16817.171270824456,6.607764035707936e-10,1.6652307026220618e-10,8.300923972273262e-20,1.0,417.0
2,0.920032262802124,0.794772127229885,0.24292744895226667,0.022700128475777837,0.021119316394529,0.008322878579229578,0.0,0.0,0.0,0.0,1,0.005769169453376356,0.005769169453376356,unknown,9.0,3.5695948009116335e-11,-12817.51297807855,-12817.512978078583,9.080276004166805e-10,5.084475806833496e-12,1.5210164339843212e-07,1.0,149.0
3,1.3622939586639404,0.794679601887161,0.010293235032659677,0.030995024563320265,0.02823298509175569,0.01279022335556788,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.009699277273355938,0.009699277273355938,unknown,9.0,6.643813316671849e-11,-29602.174123459405,-29602.174123459474,9.065528466264092e-10,3.6254696688991255e-12,4.230378511014494e-09,1.0,183.0
4,1.8224260807037354,0.794679601887161,1.581824321392201e-15,0.027547037097244775,0.025454882960995726,0.010530332343984969,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.007654247860243163,0.007654247860243163,unknown,9.0,1.4385724637270864e-10,-29645.276834864562,-29645.276834864704,6.83507109634683e-10,8.456926594522294e-12,1.208264516035517e-22,1.0,479.0
5,2.289623975753784,0.794679601887161,9.930136612989094e-16,0.029614079109260415,0.027174207546642667,0.011770974415795377,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00880562560818379,0.00880562560818379,unknown,10.0,7.160495520378775e-12,-28875.230256315666,-28875.230256315677,1.3429856858822883e-09,5.728393407622958e-12,1.208264516035517e-22,1.0,479.0
6,2.747483253479004,0.794679601887161,1.6354606405429e-15,0.02872711035826118,0.026445978104013758,0.011218592810755204,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008297097415838629,0.008297097415838629,unknown,10.0,3.7242858631859215e-12,-29139.92995483753,-29139.92995483754,8.264095330870128e-10,6.261630452543686e-12,2.7641216564038433e-23,1.0,493.0
7,3.2085187435150146,0.794679601887161,1.3642648929939611e-15,0.028760119881655003,0.02644687982816647,0.011300741389726402,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.0083794294182131,0.0083794294182131,unknown,10.0,5.400306161443088e-12,-29022.180803980064,-29022.180803980074,7.375706604604436e-10,6.616974220011623e-12,1.208264516035517e-22,1.0,479.0
8,3.667412757873535,0.794679601887161,2.077037090527612e-15,0.028965543063762863,0.02664120678675712,0.011368750983275777,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008436189710141748,0.008436189710141748,unknown,10.0,6.402221671848926e-12,-29129.25633613213,-29129.256336132137,1.0150676749237645e-09,6.0589458955821004e-12,2.7641216564038433e-23,1.0,493.0
9,4.129654884338379,0.794679601887161,8.233634315563855e-16,0.02870460495635219,0.0264052889291791,0.011256765754984726,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008337983025082136,0.008337983025082136,unknown,10.0,7.798308392406622e-12,-29055.528661199347,-29055.52866119937,1.3638226961061982e-09,5.094130999853892e-12,2.7641216564038433e-23,1.0,493.0
10,4.5915021896362305,0.794679601887161,1.093442869781314e-15,0.028921873975120253,0.026598932375582435,0.011356553337510338,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008426473811993353,0.008426473811993353,unknown,10.0,8.24090186160003e-12,-29109.143468525053,-29109.143468525064,1.0182299033330433e-09,5.964842670559581e-12,2.7641216564038433e-23,1.0,493.0
11,5.057416200637817,0.794679601887161,1.5818243213922008e-15,0.028759720712814685,0.0264554147298613,0.011279728717745224,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008358080576310482,0.008358080576310482,unknown,10.0,9.338852800532464e-12,-29075.228479079917,-29075.228479079935,1.0432037119872624e-09,5.4070566301049704e-12,5.2011825515980935e-23,1.0,487.0
12,5.517998456954956,0.794679601887161,6.888752704931534e-16,0.028868685667017092,0.026551379265463203,0.011332474762308333,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008405196514927197,0.008405196514927197,unknown,10.0,8.911549964368246e-12,-29096.95761247032,-29096.95761247032,4.530482303314358e-10,6.692556792632055e-12,8.808248321898919e-23,1.0,482.0
13,5.981362581253052,0.794679601887161,1.8038988979531728e-15,0.028798682066945545,0.02648992908023886,0.011298117503049489,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00837445991817918,0.00837445991817918,unknown,10.0,9.25807662050906e-12,-29084.11366544052,-29084.11366544054,1.5397251196431493e-09,1.1276415221954532e-11,5.2011825515980935e-23,1.0,487.0
14,6.44279146194458,0.794679601887161,8.671119018262735e-16,0.02884130041908376,0.02652722983772617,0.011319293263984202,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008393437581509332,0.008393437581509332,unknown,10.0,9.097270134976963e-12,-29091.641318099588,-29091.64131809959,7.233611759847353e-10,8.84138451693869e-12,1.208264516035517e-22,1.0,479.0
15,6.904077529907227,0.794679601887161,1.0235750533041804e-15,0.028816205712292774,0.02650531961336484,0.01130669964411978,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838213838476942,0.00838213838476942,unknown,10.0,9.18937173578635e-12,-29087.457378982373,-29087.457378982388,1.3707947671776801e-09,5.67717711588329e-12,1.208264516035517e-22,1.0,479.0
16,7.371263742446899,0.794679601887161,8.158439733063111e-16,0.02883041941951657,0.026517699256225085,0.011313903970664783,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008388610611311324,0.008388610611311324,unknown,10.0,9.14605688687522e-12,-29089.72853837809,-29089.728538378105,7.737308762356558e-10,4.625396399067913e-12,2.7641216564038433e-23,1.0,493.0
17,7.836495637893677,0.794679601887161,1.5503420817984878e-15,0.02882263202787943,0.02651093322039094,0.011309918204580426,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008385025743063577,0.008385025743063577,unknown,10.0,9.166758342745242e-12,-29088.551653368082,-29088.551653368093,1.926601694254903e-09,4.577003773115508e-12,2.7641216564038433e-23,1.0,493.0
18,8.299136877059937,0.794679601887161,1.4644847510539766e-15,0.028826737236435807,0.026514490247378796,0.011312042238957383,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386938677312095,0.008386938677312095,unknown,10.0,9.158099790853147e-12,-29089.136883184943,-29089.136883184947,1.054612063556575e-09,5.279159360862262e-12,2.7641216564038433e-23,1.0,493.0
19,8.765331029891968,0.794679601887161,1.1376400672568731e-15,0.028824662606470035,0.026512698484361295,0.011310955151973895,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008385958164749458,0.008385958164749458,unknown,10.0,9.161223490796361e-12,-29088.863579185374,-29088.86357918537,1.7329279646218652e-09,4.978612054150108e-12,2.7641216564038433e-23,1.0,493.0
20,9.226301908493042,0.794679601887161,1.005349707720862e-15,0.02882565581978531,0.02651355258784202,0.011311484235423972,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386436304077028,0.008386436304077028,unknown,10.0,9.16053706054721e-12,-29088.980653444432,-29088.980653444432,9.845538335138665e-10,5.631139064281556e-12,5.2011825515980935e-23,1.0,487.0
21,9.68883204460144,0.794679601887161,2.3616716789057368e-15,0.028825214750363277,0.026513175741299574,0.011311243543983608,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838621818702132,0.00838621818702132,unknown,10.0,9.160307067969345e-12,-29088.937911389658,-29088.93791138966,9.203433409144916e-10,4.304018810075483e-12,8.808248321898919e-23,1.0,482.0
22,10.151759624481201,0.794679601887161,2.1840657696732266e-15,0.02882538766235448,0.026513321722154398,0.011311342013145043,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838630784197883,0.00838630784197883,unknown,10.0,9.160780085020643e-12,-29088.948070146675,-29088.948070146682,5.426795929324217e-10,4.938560801545044e-12,1.208264516035517e-22,1.0,479.0
23,10.613882064819336,0.794679601887161,1.1696925375895547e-15,0.028825336297793883,0.026513279780276455,0.011311309427713655,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.00838627784600529,0.00838627784600529,unknown,10.0,9.160328949092069e-12,-29088.950413038714,-29088.950413038725,8.848728102196743e-10,4.089303254055398e-12,5.2011825515980935e-23,1.0,487.0
24,11.078133583068848,0.794679601887161,1.2851760658783262e-15,0.02882533822830551,0.026513279833285844,0.01131131422310757,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386282575059278,0.008386282575059278,unknown,10.0,9.160678598890064e-12,-29088.944586348553,-29088.944586348556,9.141602115347761e-10,6.9023685191196875e-12,2.7641216564038433e-23,1.0,493.0
25,11.540571212768555,0.794679601887161,9.930136612989098e-16,0.028825352429878787,0.026513293118268322,0.011311319274394615,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386286876228773,0.008386286876228773,unknown,10.0,9.160434275453074e-12,-29088.950300323235,-29088.950300323246,1.4896733114628974e-09,4.390621526729779e-12,2.7641216564038433e-23,1.0,493.0
26,12.002614259719849,0.794679601887161,9.805224261780596e-16,0.028825336073773876,0.026513278375489786,0.011311312149595276,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386280603987177,0.008386280603987177,unknown,10.0,9.160593525214243e-12,-29088.945820960926,-29088.945820960933,1.2500577449708364e-09,4.388126758508344e-12,5.2011825515980935e-23,1.0,487.0
27,12.46761965751648,0.794679601887161,1.1267533089989428e-15,0.028825349686225805,0.026513290491107427,0.01131131844053279,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386286188692015,0.008386286188692015,unknown,10.0,9.160494852001514e-12,-29088.948968827197,-29088.948968827204,1.0600235461711167e-09,5.5622593593413e-12,7.134681140738125e-23,1.0,484.0
28,12.931173324584961,0.794679601887161,1.2899625854847776e-15,0.028825339797086312,0.026513281748368495,0.011311313732051832,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386281992001934,0.008386281992001934,unknown,10.0,9.160553573519115e-12,-29088.94690529744,-29088.94690529745,1.3228214859296039e-09,6.369660757158418e-12,1.3220708194808237e-23,1.0,500.0
29,13.393563747406006,0.794679601887161,5.661048867003677e-16,0.028825346429322645,0.026513287585910865,0.011311316950427799,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386284867501106,0.008386284867501106,unknown,10.0,9.160520008312403e-12,-29088.948188908984,-29088.948188908995,1.5515040440324005e-09,3.738466574892763e-12,1.3220708194808237e-23,1.0,500.0
30,13.858668804168701,0.794679601887161,1.3136335981433194e-15,0.02882534222255976,0.026513283895506883,0.011311314880230695,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283014822679,0.008386283014822679,unknown,10.0,9.1605387434466e-12,-29088.94742139451,-29088.947421394518,6.658361757766373e-10,5.356290508963761e-12,1.3220708194808237e-23,1.0,500.0
31,14.32374095916748,0.794679601887161,2.059156955057807e-15,0.028825344776488085,0.026513286129871704,0.011311316151303888,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386284153759863,0.008386284153759863,unknown,10.0,9.160528681911785e-12,-29088.947862815734,-29088.947862815752,7.162040897360913e-10,6.133904632590017e-12,1.3220708194808237e-23,1.0,500.0
32,14.790428400039673,0.794679601887161,1.8742721836921968e-15,0.02882534328070727,0.026513284824487077,0.011311315399281617,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283479009729,0.008386283479009729,unknown,10.0,9.160534088978135e-12,-29088.947618258535,-29088.94761825855,7.175765900038121e-10,4.083449991889624e-12,1.3220708194808237e-23,1.0,500.0
33,15.257994174957275,0.794679601887161,1.8808370800923915e-15,0.02882534412534035,0.02651328555971351,0.011311315828371468,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283864649622,0.008386283864649622,unknown,10.0,9.160530975975101e-12,-29088.947748663522,-29088.947748663522,1.0594758183764109e-09,4.640135918010395e-12,4.609775910383023e-24,1.0,510.0
34,15.728945970535278,0.794679601887161,1.779822904821748e-15,0.028825343664899018,0.02651328515994717,0.011311315592036393,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283651813391,0.008386283651813391,unknown,10.0,9.160532727832577e-12,-29088.947683290735,-29088.947683290746,9.270083727071041e-10,7.783075464811462e-12,4.609775910383023e-24,1.0,510.0
35,16.19584894180298,0.794679601887161,9.678699938266253e-16,0.028825343908442068,0.026513285370799604,0.011311315718442681,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283765823904,0.008386283765823904,unknown,10.0,9.16053199276795e-12,-29088.94771409126,-29088.947714091275,9.824566162527295e-10,3.640946020970431e-12,4.609775910383023e-24,1.0,510.0
36,16.65988254547119,0.794679601887161,1.3276336411462312e-15,0.02882534378659615,0.026513285265790203,0.01131131565407296,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283707679607,0.008386283707679607,unknown,10.0,9.160532176136625e-12,-29088.947701910034,-29088.94770191005,2.0221931701517515e-09,5.055895860891976e-12,4.609775910383023e-24,1.0,510.0
37,17.12555980682373,0.794679601887161,1.3089336417583918e-15,0.028825343841671444,0.026513285312905064,0.011311315683989416,0.0,0.0,1.694119870365718e-05,1.0588249189785737e-06,1,0.008386283734807981,0.008386283734807981,unknown,10.0,9.16053231681299e-12,-29088.947706003917,-29088.947706003935,7.54532630172966e-10,7.27862330185448e-12,4.609775910383023e-24,1.0,510.0
