iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,stepsize,linesearch_status,linesearch_counter
0,0.0,0.7960206362310905,1.3042167484290357e-15,3.636198589127414,2.634853157464458,2.5058908631805514,0.0,0,0.0,0.0,28.58369032323485,0.5,1.0,1.0,,,
1,0.6125991344451904,0.7985666049079366,2.3916770354082484,3.1017368391203184,2.0705315032449096,2.3094741204929052,0.0,0,0.0,0.0,19.62129243715351,0.5,0.8691304083181112,1.1755677384278083,0.25,True,2.0
2,1.1914558410644531,0.8001521326179653,3.966826681333716,2.7162693047780544,1.6292050431433127,2.173432737278946,0.0,0,0.0,0.0,13.97350463774177,0.5,0.7565132710634354,1.3880407067395246,0.25,True,2.0
3,1.7611234188079834,0.8025221276937533,3.313295296131855,2.496861202265004,1.2756093002430617,2.1464231189519665,0.0,0,0.002137975247826329,0.00013362345298914557,10.977745713988794,0.5,0.6591107987380933,1.6510213238696163,0.25,True,2.0
4,2.342179298400879,0.8023725839155436,2.065712063053942,2.3998206032177194,1.1304063962358821,2.1169128825672794,0.0,0,0.00039318946662481036,2.4574341664050647e-05,9.943799693267483,0.5,0.617373107466235,1.8207152753353353,0.125,True,3.0
5,2.920442819595337,0.8036780200661925,4.66999950950406,2.30029812477521,1.6109096627378179,1.6420290532445487,0.0,0,0.009061437142498758,0.0005663398214061724,7.024729576852121,0.5,0.45534904328938913,2.5812789052809753,0.5,True,1.0
6,3.5162580013275146,0.8042645916895201,4.620825994736858,2.236579996191608,1.5353927005532302,1.6262629549635996,0.0,0,0.01131970694730374,0.0007074816842064837,6.808037429371151,0.5,0.44103366988239573,2.7901950033250222,0.0625,True,4.0
7,4.0906171798706055,0.8051843728766791,11.663792698565931,1.9238796772113589,0.808134929216295,1.744312396686679,0.0,0,0.06967783526741433,0.006773901689062619,5.557218984686963,0.5,0.427159027942874,3.020101029729057,0.0625,True,4.0
8,4.685166358947754,0.805211449796302,1.6244442820747027,1.8863681929037304,0.7801766897343658,1.7150946573452148,0.0,0,0.08823610412185046,0.006723446186354972,5.433630063400145,0.5,0.42046338987106785,3.1406270613133196,0.03125,True,5.0
9,5.274926424026489,0.8054166413297379,1.7280541401777036,1.8532096014522015,0.756076384087949,1.689452327950186,0.0,0,0.08991603546206739,0.006870168537051285,5.305975392898376,0.5,0.41387203049980903,3.2664732243218344,0.03125,True,5.0
10,5.856369495391846,0.8055902283755897,1.1117007251410165,1.8365509051497737,0.7444720648549982,1.6764330948224901,0.0,0,0.0885429862900764,0.0068037638024308926,5.239755414187472,0.5,0.4106332708685889,3.3319379805586222,0.015625,True,6.0
11,6.426075220108032,0.805797036103207,1.444205170236461,1.8249324849146513,0.7333659555356987,1.6683517780752948,0.0,0,0.09343812793331518,0.007127763096422142,5.230045450258236,0.5,0.4074198654500198,3.3985926556389043,0.015625,True,6.0
12,7.014548063278198,0.8058118096433975,0.06906809649645362,1.8248021635290632,0.7332763042577594,1.6682500515991976,0.0,0,0.09341249102976645,0.0071262501021506,5.229584643648437,0.5,0.4073949982277643,3.3990875786287447,0.0001220703125,True,13.0
13,7.625940322875977,0.805830894913164,0.08965897614629073,1.824701010212906,0.7331865108620571,1.6681783259826426,0.0,0,0.093422016541016,0.007126916741087052,5.229491433337512,0.5,0.4073701325052203,3.3995699299998696,0.0001220703125,True,13.0
14,8.22360110282898,0.8058394173193684,0.03932680482852202,1.8246719330552172,0.7331640468519032,1.6681564491959529,0.0,0,0.09342101566033723,0.00712685723855913,5.2294263320033885,0.5,0.40736391650040704,3.3996801300221415,3.0517578125e-05,True,15.0
15,8.832953691482544,0.8058459004632758,0.02978054698965002,1.824658364481965,0.7331528009440819,1.6681464801127661,0.0,0,0.09342229242070221,0.007126929736278598,5.229408664005794,0.5,0.40736080854608875,3.3997290187381943,1.52587890625e-05,True,16.0
